;;t8;t4;;t2;t6;;;;;;;;;;;;;k2;k1;;;k4;k3;i2;;i1;;;;;;;;;;;;;;;;;;;;l4;;l3;;;;;l2;;;;;;;lb1;lb2;lb3;lb4;lb5;lb6;lb7;;;;;;;;;;;v1;;;;;;;;t11;t12;y3;t7;t9;t10;;
Matrisfråga:Arbetssituation:Jag trivs med mina arbetsuppgifter;Matrisfråga:Arbetssituation:Jag tycker det är roligt att gå till jobbet;Matrisfråga:Arbetssituation:Jag känner motivation i mitt arbete;Matrisfråga:Arbetssituation:Jag har en rimlig arbetsbelastning;Matrisfråga:Arbetssituation:Jag kan oftast själv bestämma arbetstakten;Matrisfråga:Arbetssituation:Jag kan påverka min arbetssituation;Matrisfråga:Arbetssituation:Det finns tid för återhämtning efter perioder av stress på jobbet;Matrisfråga:Arbetssituation:Jag upplever sällan stress i arbetssituationer som påverkar mig negativt;Matrisfråga:Arbetsmiljö:Jag har den utrustning jag behöver för att utföra mitt arbete;Matrisfråga:Arbetsmiljö:Vi har bra gemenskap och sammanhållning i vår arbetsgrupp;Matrisfråga:Arbetsmiljö:I min arbetsgrupp delar vi gärna med oss av våra kunskaper och erfarenheter till varandra;Matrisfråga:Arbetsmiljö:Jag känner mig respekterad av mina arbetskamrater;Matrisfråga:Arbetsmiljö:Om konflikter uppstår hanteras de på ett bra sätt av mina arbetskamrater utan hjälp av min verksamhetschef/teamchef;Matrisfråga:Arbetsmiljö:Stämningen är bra på min arbetsplats;Matrisfråga:Arbetsmiljö:Jag har en bra fysisk arbetsmiljö;Matrisfråga:Hälsa:Jag upplever att jag har en bra balans mellan arbete och privatliv;Matrisfråga:Hälsa:Jag upplever min fysiska hälsa som god;Matrisfråga:Hälsa:Jag upplever min psykiska hälsa som god;Matrisfråga:Hälsa:Jag upplever att jag kan koppla av på min fritid;Matrisfråga:Kompetens och utveckling:Jag tar själv initiativ för att få den kompetensutveckling jag behöver;Matrisfråga:Kompetens och utveckling:Jag får den kompetensutveckling/utbildning som jag behöver i mitt arbete;Matrisfråga:Kompetens och utveckling:Jag har de kunskaper jag behöver för att kunna utföra mitt arbete;Matrisfråga:Kompetens och utveckling:Jag är nöjd med min utveckling i arbetet det senaste året;Matrisfråga:Kompetens och utveckling:Jag anser att min kompetens och erfarenhet tas tillvara på ett bra sätt;Matrisfråga:Kompetens och utveckling:Det finns bra utvecklingsmöjligheter inom X för mig;Matrisfråga:Information:Jag har lätt att hitta den information jag behöver;Matrisfråga:Information:Jag anser att jag har tillgång till den information jag behöver i arbetet;Matrisfråga:Information:Jag tar själv ansvar för att söka den information jag behöver;Matrisfråga:Information:Den information jag får känns relevant för mitt arbete;Matrisfråga:Service och bemötande:Jag upplever att det är lätt att få kontakt med den jag söker på kontoret;Matrisfråga:Service och bemötande:Jag känner mig välkommen när jag besöker kontoret;Matrisfråga:Service och bemötande:Jag blir bemött på ett bra sätt när jag ringer till kontoret;Matrisfråga:Service och bemötande:Jag upplever att jag får en bra service när jag behöver arbetsgivarintyg, inkomstuppgifter, när jag vill redovisa kvitton och liknande frågor;Matrisfråga:Mål och visioner:Jag känner till organisationens vision;Matrisfråga:Mål och visioner:Jag känner till organisationens mål;Matrisfråga:Mål och visioner:Jag anser att organisationen har tydliga mål;Matrisfråga:Mål och visioner:Jag har tydliga mål för mitt individuella arbete;Matrisfråga:Mål och visioner:Jag är delaktig i att sätta mina individuella mål;Flervalsfråga:Skala3:Har du haft utvecklingssamtal på X?;Matrisfråga:Utvecklingssamtal:Jag upplever att samtalet bidrar till min utveckling;Matrisfråga:Utvecklingssamtal:Jag är nöjd med de individuella mål som togs fram för mig;Matrisfråga:Utvecklingssamtal:Det vi kom överens om i utvecklingssamtalet blir genomfört;Matrisfråga:Utvecklingssamtal:Jag är som helhet nöjd med samtalet;Flervalsfråga:Skala4:Vem är din verksamhetschef/teamchef?**;Matrisfråga:Ledarskap*:Min verksamhetschef/teamchef...;Matrisfråga:Ledarskap*:Min verksamhetschef/teamchef föregår med gott exempel;Matrisfråga:Ledarskap*:Min verksamhetschef/teamchef är bra på att informera om viktiga händelser och beslut;Matrisfråga:Ledarskap*:Min verksamhetschef/teamchef bidrar till att skapa ett öppet och tillåtande klimat;Matrisfråga:Ledarskap*:Min verksamhetschef/teamchef är bra på att planera och organisera;Matrisfråga:Ledarskap*:Min verksamhetschef/teamchef tar snabbt tag i problem som rör konflikter och relationer på arbetsplatsen;Matrisfråga:Ledarskap*:Min verksamhetschef/teamchef ger mig det stöd jag behöver i mitt arbete;Matrisfråga:Ledarskap*:Min verksamhetschef/teamchef är rak och tydlig i sitt ledarskap;Matrisfråga:Ledarskap*:Min verksamhetschef/teamchef följer upp så att det som är beslutat verkligen blir utfört**;Matrisfråga:Ledarskap*:Min verksamhetschef/teamchef är en närvarande chef**;Matrisfråga:Ledarskap*:Jag är som helhet nöjd med min verksamhetschef/teamchef;Matrisfråga:Chefsskap**:Jag har de befogenheter som jag behöver för att kunna agera i mitt arbete**;Matrisfråga:Chefsskap**:Jag har ledningens stöd i mitt arbete**;Matrisfråga:Chefsskap**:Jag har mina medarbetares förtroende**;Matrisfråga:Chefsskap**:Jag vet vad som förväntas av mig som chef**;Matrisfråga:Chefsskap**:Jag ger mina medarbetare tillräcklig återkoppling**;Matrisfråga:Chefsskap**:Jag är en närvarande chef**;Matrisfråga:Likabehandling**:På min arbetsplats behandlas alla lika oavsett kön**;Matrisfråga:Likabehandling**:På min arbetsplats behandlas alla lika oavsett ålder**;Matrisfråga:Likabehandling**:På min arbetsplats behandlas alla lika oavsett etnisk tillhörighet**;Matrisfråga:Likabehandling**:På min arbetsplats behandlas alla lika oavsett könsöverskridande identitet eller uttryck**;Matrisfråga:Likabehandling**:På min arbetsplats behandlas alla lika oavsett religion eller annan trosuppfattning**;Matrisfråga:Likabehandling**:På min arbetsplats behandlas alla lika oavsett funktionsnedsättning**;Matrisfråga:Likabehandling**:På min arbetsplats behandlas alla lika oavsett sexuell läggning**;Flervalsfråga:Skala5:Känner du till om någon medarbetare under den senaste 12-månadersperioden varit utsatt för kränkande särbehandling på X?**;Flervalsfråga:Skala5:Har du, under de senaste 12 månaderna, blivit utsatt för kränkande särbehandling på X?;Textfält:Av vem/vilka har du känt dig utsatt för kränkande särbehandling?:En chef;Textfält:Av vem/vilka har du känt dig utsatt för kränkande särbehandling?:En medarbetare;Textfält:Av vem/vilka har du känt dig utsatt för kränkande särbehandling?:En kund/brukare;Textfält:Av vem/vilka har du känt dig utsatt för kränkande särbehandling?:En närstående till kund/brukare;Textfält:Av vem/vilka har du känt dig utsatt för kränkande särbehandling?:Annan, nämligen;Textfält:Av vem/vilka har du känt dig utsatt för kränkande särbehandling?:Vill ej uppge;Flervalsfråga:Skala5:Har du rapporterat händelsen gällande kränkande särbehandling till din verksamhetschef/teamchef eller företagshälsovården?**;Flervalsfråga:Skala5:Känner du till om någon medarbetare under den senaste 12-månadersperioden varit utsatt för hot eller våld på X?**;Flervalsfråga:Skala5:Har du, under de senaste 12 månaderna, blivit utsatt för våld eller hot på X?;Textfält:Av vem/vilka har du blivit utsatt för hot och/eller våld?:En chef;Textfält:Av vem/vilka har du blivit utsatt för hot och/eller våld?:En medarbetare;Textfält:Av vem/vilka har du blivit utsatt för hot och/eller våld?:En kund/brukare;Textfält:Av vem/vilka har du blivit utsatt för hot och/eller våld?:En närstående till kund/brukare;Textfält:Av vem/vilka har du blivit utsatt för hot och/eller våld?:Annan, nämligen;Textfält:Av vem/vilka har du blivit utsatt för hot och/eller våld?:Vill ej uppge;Flervalsfråga:Skala5:Har du rapporterat händelsen gällande hot och våld till din verksamhetschef/teamchef eller företagshälsovården?**;Matrisfråga:Arbetsplatsen:Jag är stolt över att arbeta i X;Matrisfråga:Arbetsplatsen:Jag rekommenderar gärna min arbetsgivare;Matrisfråga:Arbetsplatsen:Jag tror att jag kommer att arbeta kvar i X om 3 år;Matrisfråga:Helhet:Jag är som helhet nöjd med min arbetssituation;Matrisfråga:Helhet:Jag är som helhet nöjd med min arbetsgivare;Matrisfråga:Helhet:Min arbetssituation uppfyller mycket väl de förväntningar jag har;Flervalsfråga:Skala10:Din ställning i X?;Årtal:Årtal
5;5;5;4;2;3;3;4;6;4;4;3;3;4;3;3;4;4;5;6;4;4;2;6;6;3;4;4;4;4;4;5;5;5;5;5;3;3;4;;;;;5;;4;5;4;4;5;4;4;4;4;4;;;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;4;4;4;2;3;2;2;2017
6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;4;5;3;5;6;5;2;2;1;5;5;5;5;3;5;4;4;5;5;5;5;4;4;;;;;13;;4;3;4;4;3;3;5;3;2;6;;;;;;;5;5;5;5;5;5;5;1;2;;;;;;;;1;2;;;;;;;;2;2;6;6;6;6;2;2017
2;3;2;3;3;3;3;2;3;3;4;4;4;2;3;2;2;2;2;4;3;4;2;3;1;4;3;4;3;5;5;5;4;4;4;5;4;3;1;2;2;2;3;10;;3;3;3;3;4;3;3;3;3;2;;;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;1;1;;;3;;;;1;4;4;2;1;4;3;2;2017
5;5;5;5;3;4;4;4;5;5;4;5;6;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;5;5;5;5;4;4;4;3;3;4;;;;;5;;5;5;4;4;5;4;4;4;4;5;;;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;5;5;5;5;5;5;2;2017
5;4;4;4;5;3;5;4;4;4;5;6;6;4;5;5;5;5;5;5;5;5;3;5;6;4;4;5;3;2;5;5;5;5;5;6;5;5;6;;;;;5;;6;5;3;6;5;2;2;2;1;1;;;;;;;5;5;6;6;6;6;6;2;2;;;;;;;;2;2;;;;;;;;4;4;4;4;4;4;2;2017
5;5;5;5;3;4;4;3;4;4;5;5;3;5;4;5;5;4;3;5;4;5;5;5;5;5;5;5;5;3;4;5;4;5;5;5;5;5;4;;;;;10;;5;3;4;4;3;4;4;2;3;4;;;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;5;5;5;5;5;5;2;2017
3;3;3;3;4;3;4;3;4;4;4;4;3;4;4;3;4;4;4;3;4;5;2;4;6;4;5;4;4;4;5;5;5;4;4;4;4;2;4;;;;;12;;4;4;5;4;6;5;5;5;5;5;;;;;;;6;6;6;6;6;6;6;2;2;;;;;;;;2;2;;;;;;;;3;4;6;4;4;3;2;2017
5;5;5;5;2;3;3;3;4;5;5;5;6;5;4;5;4;4;5;5;6;5;5;4;5;5;5;5;5;4;5;5;5;4;4;4;4;4;4;;;;;5;;5;4;5;6;5;6;5;5;5;5;;;;;;;6;5;5;6;6;5;6;2;2;;;;;;;;2;2;;;;;;;;5;5;6;5;5;5;2;2017
5;5;5;5;3;5;5;4;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;4;5;5;5;5;5;5;5;5;4;4;4;5;4;4;;;;;9;;4;5;5;4;6;4;4;3;4;4;;;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;5;5;5;5;5;5;3;2017
6;2;2;4;5;6;5;2;5;4;5;4;5;4;3;3;3;3;4;4;5;5;1;5;6;5;5;4;5;5;5;5;5;6;6;6;4;4;1;5;5;6;5;10;;5;5;5;5;5;5;5;5;5;5;;;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;5;5;5;3;5;3;2;2017
5;5;5;4;4;4;3;4;2;6;6;6;6;6;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;6;6;6;5;5;5;5;5;;;;;12;;5;6;6;6;6;6;6;6;6;5;;;;;;;6;6;6;6;6;6;6;2;2;;;;;;;;2;2;;;;;;;;5;5;5;5;5;5;2;2017
5;4;5;3;3;4;5;4;3;4;4;4;2;3;4;5;3;4;3;4;4;5;5;4;5;4;4;5;4;2;5;5;5;4;5;4;5;4;5;;;;;5;;3;3;3;3;2;3;3;3;2;2;;;;;;;3;3;5;3;5;5;5;1;2;;;;;;;;2;2;;;;;;;;5;5;5;4;3;4;2;2017
5;5;5;5;5;5;5;4;5;3;5;4;4;4;5;5;5;5;5;4;5;4;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;2;5;5;5;5;5;;5;5;5;5;3;5;5;4;5;5;;;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;5;5;5;5;5;5;2;2017
3;3;3;4;2;4;3;2;4;3;4;4;4;2;3;2;3;2;1;6;3;2;3;6;4;2;6;6;3;5;4;5;4;6;6;6;5;1;4;;;;;10;;3;2;2;1;1;1;4;6;2;2;;;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;3;2;3;3;2;1;2;2017
5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;3;5;5;4;4;5;5;5;5;4;4;5;4;4;6;6;6;4;4;4;4;4;3;;;;;6;;6;4;6;6;6;6;6;6;6;6;;;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;4;4;6;5;5;5;2;2017
5;4;5;5;3;3;3;5;5;3;4;4;4;3;3;5;5;5;2;5;3;4;5;5;4;4;5;5;5;4;5;5;5;4;4;4;5;5;4;;;;;12;;4;6;5;3;2;6;4;4;3;3;;;;;;;2;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;4;3;6;3;3;3;2;2017
4;4;4;3;3;3;3;4;3;5;4;5;3;4;3;4;4;3;3;2;2;2;3;3;3;3;3;4;4;2;4;5;4;3;3;4;4;4;4;;;;;9;;4;3;4;6;6;3;6;4;3;3;;;;;;;4;5;6;6;6;5;6;2;2;;;;;;;;2;2;;;;;;;;4;4;3;4;3;3;2;2017
4;4;4;4;4;4;4;3;4;4;4;4;6;4;4;4;4;3;3;3;4;4;4;4;6;4;4;4;4;6;4;6;6;3;3;3;3;3;5;;;;;12;;4;6;4;6;6;4;4;6;4;4;;;;;;;6;4;4;6;6;6;6;2;2;;;;;;;;2;2;;;;;;;;4;5;6;3;5;4;2;2017
3;4;4;5;2;4;3;5;5;6;5;5;4;5;5;5;5;3;5;5;5;5;6;5;5;5;5;5;5;5;5;5;5;6;6;6;5;5;5;;;;;13;;6;6;6;6;6;6;6;6;6;6;;;;;;;5;5;6;6;3;5;6;2;2;;;;;;;;2;2;;;;;;;;5;5;1;5;5;5;2;2017
5;5;5;4;2;3;5;5;5;5;5;5;4;5;5;4;4;5;4;3;3;5;5;4;4;4;4;4;4;5;5;5;5;4;4;4;4;4;2;5;5;5;5;10;;5;5;5;5;5;5;5;5;5;5;;;;;;;4;4;4;4;4;4;4;2;2;;;;;;;;2;2;;;;;;;;5;5;6;5;5;5;2;2017
5;5;5;4;4;3;4;3;4;5;5;5;6;5;5;4;5;4;3;6;6;4;5;5;5;4;5;5;5;4;5;5;6;5;5;5;5;5;5;;;;;5;;5;5;5;5;5;5;5;5;5;5;;;;;;;6;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;5;5;5;3;5;3;2;2017
5;5;5;3;5;5;5;4;2;5;5;5;6;5;5;5;5;5;5;3;3;3;4;4;4;4;4;5;5;5;5;5;5;4;4;4;4;4;4;;;;;9;;6;6;6;6;6;6;6;6;6;6;;;;;;;5;5;6;6;5;5;5;2;2;;;;;;;;2;2;;;;;;;;4;4;4;5;5;5;2;2017
5;5;5;6;1;1;1;1;5;4;5;5;3;4;4;2;2;2;2;5;2;5;5;5;2;6;4;5;2;3;3;3;3;4;4;2;5;5;4;;;;;12;;3;2;2;1;2;1;2;2;1;2;;;;;;;5;5;5;5;5;5;5;1;2;;;;;;;;2;2;;;;;;;;6;2;2;4;1;6;2;2017
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;5;4;3;3;4;4;4;4;4;5;5;4;4;4;5;4;1;4;4;5;4;13;;4;4;4;4;4;5;5;5;4;4;;;;;;;4;4;4;4;4;4;4;3;3;;;;;;;;2;2;;;;;;;;5;5;4;4;4;4;3;2017
5;5;5;5;2;4;3;3;5;3;4;5;6;4;3;4;2;4;4;4;4;4;4;4;4;5;5;5;5;4;5;5;5;4;4;5;5;5;6;;;;;5;;3;3;3;3;6;3;3;3;3;3;;;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;5;5;5;5;5;5;2;2017
5;5;4;4;3;3;4;5;5;5;5;5;5;5;5;5;4;3;4;3;4;5;4;4;6;3;3;3;3;4;4;5;5;3;3;3;3;3;4;;;;;6;;4;2;4;3;3;4;4;3;3;3;;;;;;;4;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;3;4;4;2;4;3;2;2017
5;4;5;4;2;4;2;2;4;5;5;5;5;5;4;4;3;4;4;4;5;3;5;4;5;4;4;5;4;5;5;5;4;4;4;4;4;3;4;;;;;9;;5;5;5;5;4;4;4;4;4;5;;;;;;;5;3;5;5;5;5;5;1;2;;;;;;;;2;2;;;;;;;;5;5;5;5;5;4;2;2017
3;3;3;4;4;4;5;4;5;5;4;5;4;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;3;4;4;4;5;5;5;5;5;2;5;5;5;5;6;;6;5;5;5;5;5;5;5;5;5;;;;;;;6;5;5;6;6;5;6;2;2;;;;;;;;2;2;;;;;;;;4;5;6;3;5;3;2;2017
5;5;5;4;3;4;5;3;5;5;5;5;5;5;5;4;4;4;4;4;4;5;4;5;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;3;;5;5;5;5;5;5;4;4;4;4;;;;;;;5;4;6;6;6;5;6;2;2;;;;;;;;2;2;;;;;;;;5;5;6;5;5;5;2;2017
4;4;4;5;3;4;5;3;4;5;4;5;1;4;4;5;5;3;4;4;4;4;3;4;4;4;4;4;4;4;5;5;5;4;4;4;4;4;4;;;;;9;;5;3;5;5;5;5;5;4;5;5;;;;;;;5;5;5;5;5;5;5;1;2;;;;;;;;1;2;;;;;;;;5;5;5;5;5;5;2;2017
4;3;4;4;1;2;2;3;4;5;5;5;6;4;4;3;5;4;3;5;6;5;5;3;2;6;4;5;3;5;5;5;6;1;3;6;5;5;5;;;;;1;;5;5;5;5;5;6;4;5;5;5;;;;;;;5;5;5;5;6;5;6;2;2;;;;;;;;2;2;;;;;;;;4;5;6;4;4;3;2;2017
4;4;4;3;2;3;3;3;2;5;5;5;6;5;1;5;5;3;3;3;5;4;4;4;5;3;3;4;4;4;5;5;5;3;3;6;3;3;4;;;;;12;;4;5;5;5;5;5;5;4;4;5;;;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;5;5;6;5;5;5;2;2017
3;3;2;2;5;3;5;4;4;4;4;4;2;4;4;5;4;5;4;2;2;4;1;2;1;4;4;4;3;3;5;4;4;4;4;3;2;6;1;2;6;2;2;2;;3;4;3;4;2;4;3;3;4;4;;;;;;;5;4;6;6;5;4;5;2;2;;;;;;;;2;2;;;;;;;;5;5;1;3;5;3;2;2017
4;4;4;4;4;3;4;4;5;3;3;4;6;4;4;3;3;3;4;4;5;5;4;6;5;4;5;5;5;4;5;5;5;5;5;5;5;4;6;;;;;6;;5;5;5;5;5;5;5;5;5;5;;;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;5;5;5;3;5;4;2;2017
5;3;5;5;4;3;3;3;5;2;2;3;3;2;4;3;3;3;2;5;2;5;4;3;1;2;3;4;3;2;2;3;3;4;4;3;5;2;4;;;;;5;;3;2;1;1;1;3;1;2;2;2;;;;;;;3;2;5;4;5;5;5;3;3;;;;;;;;3;2;;;;;;;;3;3;1;3;3;3;2;2017
4;3;4;4;4;3;5;4;4;3;3;4;6;3;4;5;4;5;5;2;3;4;4;4;2;4;4;5;3;6;1;3;4;4;2;3;3;2;4;;;;;5;;3;3;3;1;6;6;2;6;1;6;;;;;;;1;5;6;6;6;6;6;1;2;;;;;;;;2;2;;;;;;;;2;4;1;4;4;5;2;2017
4;3;4;3;4;3;5;4;4;4;4;4;6;5;4;4;3;3;3;3;3;4;4;4;4;3;3;3;4;6;4;6;4;2;6;6;6;3;6;;;;;3;;4;4;6;4;4;3;4;4;4;4;;;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;4;4;4;4;4;4;3;2017
5;5;5;5;1;2;5;5;5;5;5;5;5;5;5;5;4;5;5;3;4;5;4;5;6;4;5;5;4;6;5;6;5;5;5;5;5;5;4;;;;;3;;5;5;5;5;5;5;5;5;5;5;;;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;5;5;6;5;5;5;2;2017
5;5;5;4;4;3;5;5;4;6;6;6;6;6;5;4;3;5;4;4;6;5;6;4;6;5;5;5;5;5;5;5;5;5;5;5;6;6;5;;;;;6;;5;5;5;5;5;5;5;5;5;5;;;;;;;5;6;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;5;5;6;5;5;5;2;2017
5;5;5;5;6;6;5;5;5;5;5;5;6;5;5;5;3;5;5;6;6;5;5;6;6;6;5;5;5;6;6;6;6;5;5;5;6;6;6;;;;;10;;6;6;6;6;6;6;6;6;6;5;;;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;5;5;5;5;5;5;2;2017
3;4;3;5;6;5;5;2;5;5;5;5;6;5;3;2;5;4;5;5;5;4;6;5;6;5;5;5;5;5;5;5;5;5;5;5;5;6;5;;;;;6;;5;5;5;5;5;5;5;5;5;5;;;;;;;6;6;6;6;6;5;6;2;2;;;;;;;;2;2;;;;;;;;5;5;5;4;5;3;2;2017
3;4;4;3;3;3;3;6;2;6;6;4;6;3;3;3;4;4;4;3;3;4;4;4;3;3;3;5;3;3;4;4;6;3;6;6;6;6;4;;;;;8;;4;4;6;4;6;6;6;6;6;6;;;;;;;4;4;4;4;4;4;4;2;2;;;;;;;;2;2;;;;;;;;3;4;6;6;6;6;3;2017
5;5;5;5;3;5;5;4;5;5;5;5;5;5;5;5;4;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;;;;;10;;5;5;5;5;5;5;5;5;5;5;;;;;;;5;5;5;5;5;5;5;2;3;;;;;;;;1;1;;;3;;;;1;5;5;5;5;5;5;2;2017
5;5;5;5;5;3;5;5;5;3;3;3;3;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;5;;;;;5;;5;5;5;5;5;5;5;5;5;5;;;;;;;5;5;5;5;5;6;6;2;2;;;;;;;;2;2;;;;;;;;5;5;5;5;5;5;2;2017
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;;;;;10;;6;6;6;6;6;6;6;6;6;6;;;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;5;5;5;5;5;5;2;2017
5;4;4;4;2;3;5;4;4;5;5;5;4;5;3;5;5;5;5;3;5;5;5;5;5;4;4;5;5;4;5;5;5;5;5;5;4;4;4;;;;;5;;5;5;5;5;5;5;5;5;4;5;;;;;;;6;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;5;5;5;5;5;5;2;2017
5;4;5;3;5;5;4;5;5;3;4;3;3;4;5;4;5;5;4;3;4;5;5;5;6;4;5;5;5;3;4;5;5;5;5;5;4;4;6;;;;;5;;4;5;4;4;5;5;5;5;4;5;;;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;4;3;4;4;4;5;2;2017
3;3;3;4;4;3;4;3;5;4;4;4;6;4;4;4;4;4;4;6;4;4;6;6;6;4;4;4;4;4;4;4;4;5;5;5;3;3;4;;;;;12;;5;5;5;5;5;5;5;5;5;5;;;;;;;6;5;6;6;6;6;6;2;2;;;;;;;;2;2;;;;;;;;4;4;4;3;5;3;2;2017
3;3;3;5;4;3;4;4;4;5;5;5;6;5;5;5;4;4;5;2;4;4;2;3;6;5;5;5;5;4;4;5;5;4;4;4;4;6;4;;;;;5;;4;4;4;4;3;4;3;4;3;4;;;;;;;6;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;5;5;5;5;5;4;2;2017
4;4;4;4;5;5;2;2;5;4;5;5;2;3;5;3;4;4;4;3;2;2;4;4;5;2;4;4;4;5;4;5;5;5;5;4;4;4;1;5;4;4;4;2;;3;3;3;3;3;4;2;3;3;4;;;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;2;2;;;;;;;;5;5;4;4;5;5;2;2017
