;;;;i1;;;;;;;;;;;t1;;;;;t4;t2;;;t6;;;;;;;;;;;;;;;;;;;l2;;;;k4;;k1;k2;k3;;;;;;;;;;;;;;;lb1;lb2;lb3;lb4;lb5;lb6;lb7;;;;;;;v1;;;;;;;h5;h6;y3;h1;h2;h4;h3;;;;;;;;;t5;sex;;;
Matrisfråga:Delaktighet:Jag har möjlighet att påverka hur mitt arbete ska utföras;Matrisfråga:Delaktighet:Jag har möjlighet att påverka när mitt arbete ska utföras;Matrisfråga:Delaktighet:Jag har befogenheter som överensstämmer med det ansvar jag har;Matrisfråga:Information:Jag har lätt att hitta den information jag behöver i mitt arbete;Matrisfråga:Information:Jag tar själv ansvar för att söka den information jag behöver i mitt arbete;Matrisfråga:Information:Jag får tillräcklig information om det som rör min arbetsplats;Matrisfråga:Uppskattning:Jag känner att jag får uppskattning från min närmaste chef för mina arbetsinsatser;Matrisfråga:Uppskattning:Jag upplever att mina arbetskamrater uppskattar mina arbetsinsatser;Matrisfråga:Uppskattning:Jag upplever att våra kunder/brukare (de vi finns till för) uppskattar mina arbetsinsatser;Matrisfråga:Uppskattning:Jag tycker att jag ger mina arbetskamrater uppskattning för deras arbetsinsatser;Matrisfråga:Trygghet/Trivsel:Jag upplever att vi har en god stämning inom arbetsplatsen;Matrisfråga:Trygghet/Trivsel:Jag upplever att vi kan ha en öppen dialog på min arbetsplats;Matrisfråga:Trygghet/Trivsel:Jag upplever att min närmsta chef har förtroende för mig som medarbetare;Matrisfråga:Trygghet/Trivsel:Om konflikter uppstår hanteras de på ett bra sätt av mina arbetskamrater utan att vi behöver ta hjälp av vår närmaste chef;Matrisfråga:Trygghet/Trivsel:Jag känner mig respekterad på min arbetsplats;Matrisfråga:Trygghet/Trivsel:Jag trivs på min arbetsplats;Matrisfråga:Trygghet/Trivsel:Jag känner mig trygg med förändringar på min arbetsplats;Matrisfråga:Trygghet/Trivsel:Jag känner att vi tar hand om mobbing, hot och våldssituationer på arbetsplatsen på ett bra sätt;Matrisfråga:Arbetstakt:Jag har vid behov möjlighet att variera min arbetstid;Matrisfråga:Arbetstakt:Jag känner att jag hinner med mina arbetsuppgifter under arbetstid;Matrisfråga:Arbetstakt:Jag har en rimlig arbetsbelastning (varken för stor/inte för liten);Matrisfråga:Arbetstakt:Jag kan påverka min arbetssituation;Matrisfråga:Arbetstakt:Jag har sällan eller aldrig huvudvärk, ryggbesvär, mag- och sömnproblem som jag bedömer beror på arbetet;Matrisfråga:Arbetstakt:Jag känner mig sällan eller aldrig stressad i arbetet;Matrisfråga:Arbetstakt:Det finns tid för återhämtning efter perioder av stress på jobbet;Matrisfråga:Arbetstakt:Jag upplever att jag har en bra balans mellan arbete och privatliv;Matrisfråga:Arbetstakt:Jag upplever att jag kan koppla av från arbetet på min fritid;Flervalsfråga:JaNej:Har du möjlighet att jobba hemifrån? **;Matrisfråga:Arbete på distans **:Jag har blivit väl informerad om våra rutiner kring arbete på distans **;Matrisfråga:Arbete på distans **:Min arbetsplats har tydliga rutiner kring Xikation på distans **;Matrisfråga:Arbete på distans **:Mitt arbete fungerar bra på distans **;Matrisfråga:Mål och uppföljning:Jag tycker att målen för mitt arbete är realistiska;Matrisfråga:Mål och uppföljning:Jag är delaktig i att sätta mina individuella mål utifrån medarbetarsamtalet;Matrisfråga:Mål och uppföljning:Jag är nöjd med rutinerna för hur våra fattade beslut följs upp på vår arbetsplats;Matrisfråga:Mål och uppföljning:Jag upplever att jag bidrar till förbättringar i arbetet;Matrisfråga:Ledarskap *:Jag tycker att min närmaste chef delegerar ansvar och befogenheter på ett bra sätt;Matrisfråga:Ledarskap *:Jag upplever att min närmaste chef är lyhörd för vad som händer på min arbetsplats;Matrisfråga:Ledarskap *:Min närmaste chef har förmåga att få gruppen att arbeta mot gemensamma mål;Matrisfråga:Ledarskap *:Min närmaste chef fördelar arbetsuppgifterna på vår arbetsplats på ett bra sätt;Matrisfråga:Ledarskap *:Min närmaste chef bidrar till att skapa ett öppet och tillåtande klimat;Matrisfråga:Ledarskap *:Min närmaste chef tar snabbt tag i problem som rör konflikter och relationer på arbetsplatsen;Matrisfråga:Ledarskap *:Min närmaste chef ger mig det stöd jag behöver i mitt arbete;Textfält:Min närmaste chef är empatisk;Matrisfråga:Ledarskap *:Jag är som helhet nöjd med min närmaste chef;Matrisfråga:Förtroende:Jag har förtroende för min närmaste chef;Textfält:Jag har förtroende för mina fackliga företrädare;Matrisfråga:Förtroende:Jag har förtroende för mina arbetskamrater;Matrisfråga:Kompetensutveckling:Jag har de kunskaper jag behöver för att kunna utföra mitt arbete;Matrisfråga:Kompetensutveckling:Jag känner att min kompetens tas tillvara på min arbetsplats;Matrisfråga:Kompetensutveckling:Jag ges tillräckliga möjligheter att utveckla min kompetens inom mitt arbetsområde;Matrisfråga:Kompetensutveckling:Jag tar själv initiativ för att få den kompetensutveckling jag behöver;Matrisfråga:Kompetensutveckling:Det finns bra utvecklingsmöjligheter inom X för mig;Matrisfråga:Chefskap **:Jag har ett tydligt uppdrag från min ledning **;Matrisfråga:Chefskap **:Jag har de mandat jag behöver **;Matrisfråga:Chefskap **:Jag har möjlighet att påverka min arbetstid så att jag hinner med mina arbetsuppgifter och har tid för vila/återhämtning **;Matrisfråga:Chefskap **:Jag har mina medarbetares mandat och förtroende **;Matrisfråga:Chefskap **:Jag ger mina medarbetare tillräcklig feedback på deras arbetsinsats  **;Matrisfråga:Chefskap **:Jag ger mina medarbetare stöd i deras arbete **;Flervalsfråga:JaAntal:Har ni regelbundet arbetsplatsträffar på din arbetsplats?;Flervalsfråga:JaNej:Har du varit anställd på din arbetsplats de senaste 12 månaderna? **;Flervalsfråga:JaNejVetEj:Har du haft ett medarbetarsamtal med din närmaste chef under de senaste 12 månaderna?;Flervalsfråga:JaNejVetEj:Har du haft ett lönesamtal med din närmaste chef under de senaste 12 månaderna?;Matrisfråga:Medarbetarsamtal:Jag upplever att medarbetarsamtalet bidrar till min utveckling;Matrisfråga:Medarbetarsamtal:Jag är nöjd med de individuella mål som togs fram för mig;Matrisfråga:Medarbetarsamtal:Det jag och min chef kom överens om i medarbetarsamtalet blir genomfört;Matrisfråga:Medarbetarsamtal:Jag är som helhet nöjd med samtalet;Matrisfråga:Likabehandling:På min arbetsplats behandlas alla lika oavsett kön;Matrisfråga:Likabehandling:På min arbetsplats behandlas alla lika oavsett ålder;Matrisfråga:Likabehandling:På min arbetsplats behandlas alla lika oavsett etnisk tillhörighet;Matrisfråga:Likabehandling:På min arbetsplats behandlas alla lika oavsett könsöverskridande identitet eller uttryck;Matrisfråga:Likabehandling:På min arbetsplats behandlas alla lika oavsett religion eller annan trosuppfattning;Matrisfråga:Likabehandling:På min arbetsplats behandlas alla lika oavsett funktionsnedsättning;Matrisfråga:Likabehandling:På min arbetsplats behandlas alla lika oavsett sexuell läggning;Flervalsfråga:JaNejVetEj:Tycker du att det förekommer kränkningar, mobbning eller repressalier på din arbetsplats? *;Flervalsfråga:JaNejVillEjUppge:Har du personligen, under det senaste året, känt dig utsatt för kränkande särbehandling,mobbning eller repressalier på din arbetsplats? *;Flervalsfråga:Person:Av vem/vilka har du känt dig utsatt för kränkande särbehandling eller mobbning?;Flervalsfråga:JaNej:Har du rapporterat händelsen till din närmaste chef eller till någon på HR-enheten?;Flervalsfråga:JaNej:Har du fått den hjälp och det stöd som du behöver? **;Flervalsfråga:JaNejVetEj:Har det förekommit hot eller våld på din arbetsplats det senaste året? *;Flervalsfråga:JaNejVillEjUppge:Har du, under det senaste året, blivit utsatt för våld eller hot i ditt arbete?;Flervalsfråga:Person:Av vem/vilka har du blivit utsatt för hot eller våld?;Flervalsfråga:JaNej:Har du rapporterat händelsen till din närmaste chef eller till någon på HR-enheten? ;Flervalsfråga:JaNej:Har du fått den hjälp och det stöd som du behöver? ** ;Matrisfråga:Arbetstillfredsställelse:Jag känner mig engagerad i det dagliga arbetet;Matrisfråga:Arbetstillfredsställelse:Jag är nöjd med min arbetsinsats;Matrisfråga:Arbetstillfredsställelse:Jag har tillräckligt med tid för att kunna utföra mitt arbete väl;Matrisfråga:Lojalitet:Jag är stolt över att arbeta i X;Matrisfråga:Lojalitet:Jag rekommenderar gärna min arbetsgivare för andra;Flervalsfråga:Jobbakvar:Tror du att du kommer att arbeta kvar inom X om 3 år?;Matrisfråga:Helhetsbedömning:Jag är som helhet nöjd med min arbetssituation;Matrisfråga:Helhetsbedömning:Jag känner motivation i mitt arbete;Matrisfråga:Helhetsbedömning:Min arbetssituation uppfyller de förväntningar som jag har på mitt arbete;Matrisfråga:Helhetsbedömning:Jag är som helhet nöjd med X som arbetsgivare;Matrisfråga:HME - Hållbart Medarbetar Engagemang:Mitt arbete känns meningsfullt.;Matrisfråga:HME - Hållbart Medarbetar Engagemang:Jag lär nytt och utvecklas i mitt dagliga arbete.;Matrisfråga:HME - Hållbart Medarbetar Engagemang:Jag ser fram emot att gå till arbetet.;Matrisfråga:HME - Hållbart Medarbetar Engagemang:Min närmaste chef visar uppskattning.;Matrisfråga:HME - Hållbart Medarbetar Engagemang:Min närmaste chef visar förtroende för mig som medarbetare.;Matrisfråga:HME - Hållbart Medarbetar Engagemang:Min närmaste chef ger mig förutsättningar att ta ansvar i mitt arbete.;Matrisfråga:HME - Hållbart Medarbetar Engagemang:Jag är insatt i min arbetsplats mål.;Matrisfråga:HME - Hållbart Medarbetar Engagemang:Min arbetsplats mål följs upp och utvärderas på ett bra sätt.;Matrisfråga:HME - Hållbart Medarbetar Engagemang:Jag vet vad som förväntas av mig i mitt arbete.;Organisation:Kön;Årtal:År;;
5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;;;;;4;5;5;5;5;5;5;5;4;4;5;5;5;5;;5;5;5;5;5;5;;;;;;;2;;1;1;4;4;4;4;5;5;5;5;5;5;5;2;2;;;;2;2;;;;5;5;5;3;3;2;5;5;5;3;5;5;5;5;5;5;5;5;5;Man;2019;;
4;4;5;5;5;5;5;4;5;4;4;4;5;4;4;5;5;5;1;5;4;2;5;4;4;5;5;;;;;5;4;5;4;5;5;5;5;5;5;5;5;5;5;;5;5;5;3;4;2;;;;;;;1;;1;2;1;1;1;1;5;5;5;5;5;5;5;2;2;;;;2;2;;;;5;5;4;3;4;4;5;5;4;4;5;2;4;5;5;5;5;5;5;Vill ej uppge;2019;;
5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;4;5;5;5;4;4;5;3;4;5;5;;;;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;5;5;5;5;5;4;;;;;;;2;;1;1;5;5;5;5;5;5;5;5;5;5;5;2;2;;;;2;2;;;;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;Kvinna;2019;;
2;2;-1;2;4;2;1;4;4;4;5;4;3;3;5;5;4;3;2;4;2;1;1;2;1;1;4;;;;;3;2;3;3;2;1;1;1;1;1;2;3;1;2;;4;5;5;4;4;3;;;;;;;1;;2;1;;;;;5;3;5;5;4;5;5;1;3;;;;2;2;;;;5;5;4;3;2;1;5;3;3;3;5;3;4;3;3;4;5;4;5;Kvinna;2019;;
3;4;3;3;4;3;3;5;-1;5;4;3;4;3;4;4;3;3;-1;3;3;3;4;2;3;3;3;;;;;3;4;3;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;4;3;3;3;3;3;;;;;;;2;;1;1;4;4;-1;4;-1;-1;-1;-1;-1;-1;5;3;2;;;;2;2;;;;4;4;3;3;3;2;4;4;3;2;4;4;4;4;4;3;3;3;3;Vill ej uppge;2019;;
3;1;5;4;5;4;4;2;5;5;4;4;4;3;5;3;5;5;1;1;1;1;1;1;1;3;1;;;;;4;5;4;4;5;5;5;5;5;5;5;5;5;5;;5;5;5;3;3;1;;;;;;;2;;2;2;;;;;5;5;5;5;5;5;5;2;2;;;;2;2;;;;5;5;3;3;3;1;4;4;1;4;2;1;3;4;5;5;5;5;5;Kvinna;2019;;
3;3;4;3;4;1;1;3;2;3;4;2;3;2;3;3;3;-1;1;1;1;1;1;1;1;2;2;;;;;2;3;1;2;1;1;1;1;1;1;1;1;1;1;;4;5;3;2;3;2;;;;;;;1;;1;1;1;2;2;2;5;5;5;-1;5;5;-1;2;2;;;;2;2;;;;3;4;1;3;2;4;2;2;2;2;5;2;3;2;3;3;4;2;5;Kvinna;2019;;
2;3;3;4;4;2;3;2;3;2;3;2;3;2;1;3;1;1;4;3;3;3;2;2;3;3;4;;;;;3;3;1;-1;3;2;2;3;2;1;2;2;3;2;;2;4;3;3;4;2;;;;;;;2;;1;1;3;4;3;3;-1;-1;4;-1;4;4;4;1;1;2;2;;1;2;;;;3;3;3;3;3;4;3;3;3;3;3;3;2;2;3;3;2;2;4;Vill ej uppge;2019;;
4;4;5;4;5;5;3;4;5;4;5;5;5;5;5;5;3;5;1;3;5;3;1;1;3;3;5;;;;;3;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;5;5;5;5;2;2;;;;;;;1;;1;1;4;4;4;4;5;5;5;5;5;5;5;2;2;;;;2;2;;;;5;5;3;3;3;2;3;3;3;3;4;4;4;3;3;3;4;3;4;Kvinna;2019;;
