;;;;;;;;;;;;;t4;t2;;;t6;;;;;;;;;;;;;k2;k1;;;k4;k3;i2;;i1;;;;;;;;;;;;;;;;;;;;;;;;;;;;l4;;;;l3;;;;l2;;;;;;lb1;lb2;lb3;lb4;lb5;lb6;lb7;;;;;;;;;;;;;;v1;;;;;;;t11;t12;y2;t8;t7;t9;t10;
Svarstid;Kön;Åldersgrupp;Motivation:Mitt arbete känns meningsfullt;Motivation:Jag lär nytt och utvecklas i mitt dagliga arbete;Motivation:Jag ser fram emot att gå till arbetet;Ledarskap:Min närmaste chef visar uppskattning för mina arbetsinsatser;Ledarskap:Min närmaste chef visar förtroende för mig som medarbetare;Ledarskap:Min närmaste chef ger mig förutsättningar att ta ansvar i mitt arbete;Styrning:Jag är insatt i min arbetsplats mål;Styrning:Min arbetsplats mål följs upp och utvärderas på ett bra sätt;Styrning:Jag vet vad som förväntas av mig i mitt arbete;Arbetssituation och motivation:Jag trivs med mina arbetsuppgifter;Arbetssituation och motivation:Jag har en rimlig arbetsbelastning;Arbetssituation och motivation:Jag kan påverka min arbetssituation;Arbetssituation och motivation:Jag har möjlighet att själv prioritera bland mina arbetsuppgifter;Arbetssituation och motivation:Jag har de befogenheter jag behöver utifrån mitt ansvarsområde;Arbetssituation och motivation:Det finns tid för återhämtning efter perioder av stress på jobbet;Arbetssituation och motivation:I mitt arbete upplever jag sällan stress som påverkar mig på ett negativt sätt;Arbetsmiljö:Jag har den utrustning jag behöver för att utföra mitt arbete;Arbetsmiljö:Jag har en bra fysisk arbetsmiljö;Arbetsmiljö:Vi har bra gemenskap och sammanhållning i vår arbetsgrupp;Arbetsmiljö:I min arbetsgrupp delar vi gärna med oss av våra kunskaper och erfarenheter till varandra;Arbetsmiljö:Jag känner mig respekterad av mina arbetskamrater;Arbetsmiljö:Om konflikter uppstår hanteras de på ett bra sätt i arbetsgruppen;Arbetsmiljö:Samarbetet inom min arbetsgrupp fungerar bra;Hälsa:Min fysiska hälsa är god;Hälsa:Min psykiska hälsa är god;Hälsa:Jag har en bra balans mellan arbete och privatliv;Hälsa:Jag kan koppla av från arbetet på min fritid;Kompetens och utveckling:Jag tar själv initiativ för att få den kompetensutveckling jag behöver;Kompetens och utveckling:Jag får den kompetensutveckling/utbildning som jag behöver i mitt arbete;Kompetens och utveckling:Jag har de kunskaper jag behöver för att kunna utföra mitt arbete;Kompetens och utveckling:Jag är nöjd med min utveckling i arbetet det senaste året;Kompetens och utveckling:Jag anser att min kompetens och erfarenhet tas tillvara på ett bra sätt;Kompetens och utveckling:Det finns bra utvecklingsmöjligheter inom organisationen;Information:Jag har lätt att hitta den information jag behöver;Information:Jag anser att jag har tillgång till den information jag behöver i arbetet;Information:Jag tar själv ansvar för att söka den information jag behöver;Xikativ organisation:Jag får information om viktiga händelser och beslut som rör min arbetsgivare ;Xikativ organisation:Jag litar på den information som kommer från min arbetsgivare ;Xikativ organisation:Min arbetsgivare litar på att jag utför mitt arbete som jag ska ;Xikativ organisation:Jag vet var jag ska vända mig om jag har en idé eller synpunkt ;Xikativ organisation:Jag läser information på Xens intranät regelbundet;Xikativ organisation:Xens intranät innehåller relevant information för mig som anställd ;Deltar du i arbetsplatsträffar på din arbetsplats?;Arbetsplatsträffar:På arbetsplatsträffarna deltar jag i diskussionerna;Arbetsplatsträffar:På arbetsplatsträffarna kan vi påverka frågor som är viktiga för oss;Arbetsplatsträffar:På arbetsplatsträffarna är vi delaktiga inför beslut som fattas;Har du haft ett medarbetarsamtal under de senaste 12 månaderna?;Medarbetarsamtal:Jag upplever att samtalet bidrar till min utveckling ;Medarbetarsamtal:Jag upplever att samtalet bidrar till att utveckla verksamheten;Medarbetarsamtal:Jag upplever att samtalet bidrar till att utveckla arbetsmiljön;Medarbetarsamtal:Under samtalet har vi tagit fram en individuell utvecklingsplan för mig ;Medarbetarsamtal:Det vi kom överens om i medarbetarsamtalet blir genomfört ;Medarbetarsamtal:Jag är som helhet nöjd med samtalet ;Har du haft ett lönegrundande samtal med din nuvarande eller förra chef?;Lönegrundande samtal:Jag känner till lönekriterierna för den individuella lönesättningen;Lönegrundande samtal:Jag fick möjlighet att framföra min syn på min prestation utifrån lönekriterierna;Lönegrundande samtal:Min chef kunde motivera sin bedömning av mitt arbetsresultat i förhållande till lönekriterierna;Lönegrundande samtal:Jag har en relevant lön utifrån mina arbetsuppgifter och min prestation;Lönegrundande samtal:Jag är nöjd med samtalet kring min lön;Mål och vision:Jag känner till Xs vision;Mål och vision:Jag känner till Xs värdegrund;Ledarskap:Min närmaste chef är bra på att informera om viktiga händelser och beslut;Ledarskap:Min närmaste chef tar sig tid att lyssna på och förstå mina synpunkter;Ledarskap:Min närmaste chef arbetar för att skapa ett öppet, inkluderande och tillåtande klimat;Ledarskap:Min närmaste chef stödjer och stimulerar medarbetare som vill förbättra verksamheten;Ledarskap:Min närmaste chef driver utveckling och förnyelse av verksamheten;Ledarskap:Min närmaste chef är bra på att planera och organisera;Ledarskap:Min närmaste chef tar tag i problem som rör konflikter och relationer på arbetsplatsen;Ledarskap:Min närmaste chef är tillgänglig för mig i den utsträckning jag behöver;Ledarskap:Min närmaste chef kan ta kritik utan att bli arg eller sårad;Ledarskap:Min närmaste chef är rak och tydlig i sitt ledarskap;Ledarskap:Jag är som helhet nöjd med min närmaste chef;Chefskap:Jag har de befogenheter som jag behöver för att kunna agera i mitt arbete;Chefskap:Jag har ledningens stöd i mitt arbete;Chefskap:Jag har mina medarbetares förtroende;Chefskap:Jag ger mina medarbetare tillräcklig återkoppling;Chefskap:Jag är en närvarande chef;Likabehandling:I min arbetsgrupp behandlas alla lika oavsett kön;Likabehandling:I min arbetsgrupp behandlas alla lika oavsett ålder;Likabehandling:I min arbetsgrupp behandlas alla lika oavsett etnisk tillhörighet;Likabehandling:I min arbetsgrupp behandlas alla lika oavsett könsöverskridande identitet eller uttryck;Likabehandling:I min arbetsgrupp behandlas alla lika oavsett religion eller annan trosuppfattning;Likabehandling:I min arbetsgrupp behandlas alla lika oavsett funktionsnedsättning;Likabehandling:I min arbetsgrupp behandlas alla lika oavsett sexuell läggning;Besvara frågorna med Ja, Nej eller Vet ej:På min arbetsplats är det tydligt att kränkande särbehandling inte accepteras;Besvara frågorna med Ja, Nej eller Vet ej:Jag tycker att det finns bra rutiner i X för att hantera kränkande särbehandling;Besvara frågorna med Ja, Nej eller Vet ej:Jag vet vem jag ska vända mig till om kränkande särbehandling förekommer;Besvara frågorna med Ja, Nej eller Vet ej:På min arbetsplats får den som är utsatt för kränkande särbehandling snabbt hjälp;Tycker du att det förekommer kränkningar eller mobbning på arbetsplatsen?;Har du personligen, under det senaste året, känt dig utsatt för kränkande särbehandling/mobbning inom Xen?;Av vem/vilka har du känt dig utsatt för kränkande särbehandling eller mobbning?:En chef;Av vem/vilka har du känt dig utsatt för kränkande särbehandling eller mobbning?:En medarbetare;Av vem/vilka har du känt dig utsatt för kränkande särbehandling eller mobbning?:En kund/brukare/elev eller motsvarande;Av vem/vilka har du känt dig utsatt för kränkande särbehandling eller mobbning?:Annan, nämligen;Av vem/vilka har du känt dig utsatt för kränkande särbehandling eller mobbning?:Vill ej uppge;Har du rapporterat händelsen till din närmaste chef eller personalkontoret?;Tycker du att det förekommer hot eller våld på arbetsplatsen?;Har du personligen, under det senaste året, blivit utsatt för hot och/eller våld i ditt arbete?;Av vem/vilka har du blivit utsatt för hot och/eller våld?:En chef;Av vem/vilka har du blivit utsatt för hot och/eller våld?:En medarbetare;Av vem/vilka har du blivit utsatt för hot och/eller våld?:En kund/brukare/elev eller motsvarande;Av vem/vilka har du blivit utsatt för hot och/eller våld?:Annan, nämligen;Av vem/vilka har du blivit utsatt för hot och/eller våld?:Vill ej uppge;Har du rapporterat händelsen till din närmaste chef eller personalkontoret?;Helhet:Jag är stolt över att arbeta i X;Helhet:Jag rekommenderar gärna  X som arbetsgivare;Helhet:Jag tror att jag kommer att arbeta kvar i X om 2 år;Helhet:Jag känner motivation i mitt arbete;Helhet:Jag är som helhet nöjd med min arbetssituation;Helhet:Jag är som helhet nöjd med X som arbetsgivare;Helhet:Min arbetssituation uppfyller mycket väl de förväntningar jag har;Hur många år har du arbetat i X?
2021-10-08 18:56;1;6;3;3;3;3;4;3;5;3;4;3;3;2;3;2;2;1;3;2;5;3;5;5;5;3;3;4;3;3;2;3;3;4;2;4;4;4;3;4;5;5;3;3;4;;;;3;;;;;;;3;;;;;;4;4;5;5;5;6;6;6;6;4;6;4;4;;;;;;5;5;5;6;6;6;6;1;3;1;3;2;2;;;;;;;1;2;;;;;;;4;4;6;3;3;3;2;4
2021-09-21 14:17;1;5;5;2;2;5;5;1;5;1;5;2;1;1;4;4;1;1;2;2;6;6;6;6;6;5;5;2;2;6;1;4;4;3;2;2;2;5;3;3;5;5;3;3;1;5;1;2;1;2;2;1;3;3;3;1;2;5;5;6;4;5;5;5;2;3;2;3;4;6;4;2;5;3;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;1;2;;;;;;;3;2;2;5;3;2;2;5
2021-10-12 09:05;1;4;5;5;4;5;5;5;5;5;5;3;3;3;4;4;2;2;4;5;5;5;5;5;5;5;5;2;2;5;4;4;4;4;4;5;5;5;5;5;5;5;5;5;1;5;5;5;1;4;4;4;4;4;4;1;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;3;1;;;;;5;1;5;5;5;5;5;5;4;4
2021-10-04 10:08;1;5;5;3;3;4;5;5;5;4;4;4;4;4;4;4;4;4;5;5;4;4;5;6;4;5;5;4;4;4;4;5;6;4;6;3;4;4;5;5;5;4;4;4;1;5;4;4;3;;;;;;;4;;;;;;6;4;4;4;4;4;3;2;3;4;6;3;4;4;4;4;6;4;5;5;5;5;5;5;5;1;1;3;1;2;2;;;;;;;1;2;;;;;;;5;5;3;4;4;4;4;5
2021-09-30 08:50;2;3;4;3;3;4;4;4;5;4;5;3;4;4;4;4;6;4;4;4;5;4;5;4;5;3;4;4;4;2;3;5;4;4;3;2;4;5;4;4;6;4;3;2;1;4;3;3;1;3;2;2;6;4;4;3;;;;;;2;5;4;5;6;6;5;4;6;5;6;4;4;;;;;;5;5;5;5;5;5;5;1;3;1;3;2;2;;;;;;;2;2;;;;;;;3;6;3;3;4;4;4;4
2021-09-20 16:06;1;4;5;4;4;5;5;5;5;4;4;5;5;3;3;6;4;4;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;4;3;5;5;5;3;4;5;5;5;4;1;5;5;5;1;4;3;3;3;5;4;1;3;4;4;3;5;5;5;5;4;4;4;4;4;4;5;5;4;5;;;;;;5;5;5;5;5;5;5;1;3;3;3;2;2;;;;;;;2;2;;;;;;;5;5;6;4;4;5;4;4
2021-10-12 09:26;1;2;4;3;1;4;4;4;4;3;3;6;2;4;3;4;1;1;3;4;5;5;5;5;5;5;4;4;3;3;3;4;4;3;2;4;4;4;4;5;5;5;5;5;1;5;4;4;1;4;4;3;5;4;3;1;4;4;4;2;3;5;5;4;4;4;3;4;4;5;5;3;3;4;;;;;;5;5;5;5;5;5;5;1;1;1;3;1;2;;;;;;;2;2;;;;;;;3;2;1;3;2;3;2;3
2021-10-09 16:27;1;6;5;5;4;5;5;5;5;4;5;5;3;4;4;5;4;2;5;4;4;5;5;5;5;3;4;4;5;3;4;5;4;5;4;4;5;5;4;5;5;5;4;4;1;5;4;4;1;4;4;3;4;5;5;1;4;5;5;4;5;5;5;4;5;5;5;5;6;5;5;6;5;5;;;;;;5;5;5;5;5;5;5;1;1;1;3;2;2;;;;;;;2;2;;;;;;;3;4;5;5;4;4;4;4
2021-09-21 19:08;1;5;4;4;4;3;4;4;5;4;5;4;2;3;4;4;3;4;4;3;3;3;4;6;3;3;5;4;3;4;4;4;5;4;3;4;5;5;4;4;4;4;5;4;1;4;4;4;1;3;3;3;2;4;3;2;4;3;1;3;2;5;5;3;3;3;3;3;3;3;3;4;3;3;4;4;4;4;4;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;2;1;;;;4;;1;4;4;6;4;3;4;3;2
