role;;;;i2;i1;;;;;;;;;;;t1;;;;;t4;t2;;;t6;;;;;;;;;;;;;;;;;;;;;;l4;l3;;l1;l2;;;;k4;k1;k2;;k3;;;;;;;;;;;;;;;lb1;lb2;lb3;lb4;lb5;lb6;lb7;;;;;;;;;;;;;v1;;;;;;;;;;;;;t11;t12;y3;t7;t8;t10;t9;;;;;;;;;t5
Roll text;Delaktighet:Jag har möjlighet att påverka hur mitt arbete ska utföras ;Delaktighet:Jag har möjlighet att påverka när mitt arbete ska utföras;Delaktighet:Jag har befogenheter som överensstämmer med det ansvar jag har;Information:Jag har lätt att hitta den information jag behöver i mitt arbete;Information:Jag tar själv ansvar för att söka den information jag behöver i mitt arbete;Information:Jag får tillräcklig information om det som rör min arbetsplats;Uppskattning:Jag känner att jag får uppskattning från min närmaste chef för mina arbetsinsatser;Uppskattning:Jag upplever att mina arbetskamrater uppskattar mina arbetsinsatser;Uppskattning:Jag upplever att våra kunder/brukare (de vi finns till för) uppskattar mina arbetsinsatser;Uppskattning:Jag tycker att jag ger mina arbetskamrater uppskattning för deras arbetsinsatser;Trygghet/Trivsel:Jag upplever att vi har en god stämning inom arbetsplatsen ;Trygghet/Trivsel:Jag upplever att vi kan ha en öppen dialog på min arbetsplats ;Trygghet/Trivsel:Jag upplever att min närmsta chef har förtroende för mig som medarbetare ;Trygghet/Trivsel:Om konflikter uppstår hanteras de på ett bra sätt av mina arbetskamrater utan att vi behöver ta hjälp av vår närmaste chef;Trygghet/Trivsel:Jag känner mig respekterad på min arbetsplats ;Trygghet/Trivsel:Jag trivs på min arbetsplats ;Trygghet/Trivsel:Jag känner mig trygg med förändringar på min arbetsplats ;Trygghet/Trivsel:Jag känner att vi tar hand om mobbing, hot och våldssituationer på arbetsplatsen på ett bra sätt;Arbetstakt:Jag har vid behov möjlighet att variera min arbetstid ;Arbetstakt:Jag känner att jag hinner med mina arbetsuppgifter under arbetstid ;Arbetstakt:Jag har en rimlig arbetsbelastning (varken för stor/inte för liten) ;Arbetstakt:Jag kan påverka min arbetssituation ;Arbetstakt:Jag har sällan eller aldrig huvudvärk, ryggbesvär, mag- och sömnproblem som jag bedömer beror på arbetet ;Arbetstakt:Jag känner mig sällan eller aldrig stressad i arbetet ;Arbetstakt:Det finns tid för återhämtning efter perioder av stress på jobbet ;Arbetstakt:Jag upplever att jag har en bra balans mellan arbete och privatliv ;Arbetstakt:Jag upplever att jag kan koppla av från arbetet på min fritid;Arbetstakt:Jag får möjligheter till pauser (sträcka på benen, hämta kaffe etc) under mina arbetsdagar;Har du möjlighet att jobba hemifrån?;Beror det på att dina arbetsuppgifter inte kan utföras hemifrån?;Vad fungerar bäst för dig i din roll om du fick välja?;Arbete på distans:Jag har blivit väl informerad om våra rutiner kring arbete på distans;Arbete på distans:Min arbetsplats har tydliga rutiner kring ikation på distans;Arbete på distans:Jag upplever att jag har goda möjligheter att utföra mina arbetsuppgifter med god kvalitet på distans;Arbete på distans:Jag har god förmåga att balansera och dra gränsen mellan arbete och fritid när jag arbetar på distans;Arbete på distans:Samarbetet med mina kollegor fungerar bra när vi arbetar på distans;Arbete på distans:Jag upplever att jag har bra kontakt med andra verksamheter internt trots att många arbetar på distans;Arbete på distans:Mitt arbete fungerar bra på distans;Mål och uppföljning  :Jag tycker att målen för mitt arbete är realistiska ;Mål och uppföljning  :Jag är delaktig i att sätta mina individuella mål/utvecklingsdelar utifrån medarbetarsamtalet;Mål och uppföljning  :Jag är nöjd med rutinerna för hur våra fattade beslut följs upp på vår arbetsplats;Mål och uppföljning  :Jag upplever att jag bidrar till förbättringar i arbetet;Ledarskap:Jag tycker att min närmaste chef delegerar ansvar och befogenheter på ett bra sätt ;Ledarskap:Jag upplever att min närmaste chef är lyhörd för vad som händer på min arbetsplats;Ledarskap:Min närmaste chef har förmåga att få gruppen att arbeta mot gemensamma mål ;Ledarskap:Min närmaste chef fördelar arbetsuppgifterna på vår arbetsplats på ett bra sätt;Ledarskap:Min närmaste chef bidrar till att skapa ett öppet och tillåtande klimat ;Ledarskap:Min närmaste chef tar snabbt tag i problem som rör konflikter och relationer på arbetsplatsen;Ledarskap:Min närmaste chef ger mig det stöd jag behöver i mitt arbete ;Ledarskap:Min närmaste chef ger mig tillräcklig återkoppling/feedback på min arbetsinsats;Ledarskap:Jag är som helhet nöjd med min närmaste chef;Förtroende:Jag har förtroende för min närmaste chef ;Förtroende:Jag har förtroende för mina arbetskamrater ;Kompetensutveckling:Jag har de kunskaper jag behöver för att kunna utföra mitt arbete ;Kompetensutveckling:Jag känner att min kompetens tas tillvara på min arbetsplats ;Kompetensutveckling:Jag ges tillräckliga möjligheter att utveckla min kompetens inom mitt arbetsområde;Kompetensutveckling:Jag tar själv initiativ för att få den kompetensutveckling jag behöver ;Kompetensutveckling:Det finns bra utvecklingsmöjligheter i min befintliga roll  (tex nya arbetsuppgifter/ansvarsområden);Kompetensutveckling:Det finns bra utvecklingsmöjligheter inom X  för mig (till exempel att gå vidare till en ny roll);Mitt eget chefskap:Jag har ett tydligt uppdrag från min ledning;Mitt eget chefskap:Jag har de mandat jag behöver;Mitt eget chefskap:Jag har möjlighet att påverka min arbetstid så att jag hinner med mina arbetsuppgifter och har tid för vila/återhämtning ;Mitt eget chefskap:Jag har mina medarbetares mandat och förtroende;Mitt eget chefskap:Jag ger mina medarbetare tillräcklig feedback på deras arbetsinsats ;Mitt eget chefskap:Jag ger mina medarbetare stöd i deras arbete;Har ni regelbundet arbetsplatsträffar på din arbetsplats?;Har du varit anställd på din arbetsplats de senaste 12 månaderna?;Samtal:Har du haft ett medarbetarsamtal under de senaste 12 månaderna?;Samtal:Har du haft ett bedömningssamtal under de senaste 12 månaderna?;Medarbetarsamtal:Jag upplever att medarbetarsamtalet bidrar till min utveckling;Medarbetarsamtal:Jag är nöjd med de individuella mål som togs fram för mig;Medarbetarsamtal:Det jag och min chef kom överens om i medarbetarsamtalet blir genomfört;Medarbetarsamtal:Jag är som helhet nöjd med samtalet;Likabehandling:På min arbetsplats behandlas alla lika oavsett kön ;Likabehandling:På min arbetsplats behandlas alla lika oavsett ålder ;Likabehandling:På min arbetsplats behandlas alla lika oavsett etnisk tillhörighet ;Likabehandling:På min arbetsplats behandlas alla lika oavsett könsöverskridande identitet eller uttryck;Likabehandling:På min arbetsplats behandlas alla lika oavsett religion eller annan trosuppfattning;Likabehandling:På min arbetsplats behandlas alla lika oavsett funktionsnedsättning ;Likabehandling:På min arbetsplats behandlas alla lika oavsett sexuell läggning;Tycker du att det förekommer kränkningar, mobbning eller repressalier på din arbetsplats?;Har du personligen, under det senaste året, känt dig utsatt för kränkande särbehandling,mobbning eller repressalier på din arbetsplats?;Av vem/vilka har du känt dig utsatt för kränkande särbehandling eller mobbning?:En chef;Av vem/vilka har du känt dig utsatt för kränkande särbehandling eller mobbning?:En medarbetare;Av vem/vilka har du känt dig utsatt för kränkande särbehandling eller mobbning?:En kund/elev/brukare;Av vem/vilka har du känt dig utsatt för kränkande särbehandling eller mobbning?:En anhörig till elev/brukare;Av vem/vilka har du känt dig utsatt för kränkande särbehandling eller mobbning?:En förtroendevald politiker;Av vem/vilka har du känt dig utsatt för kränkande särbehandling eller mobbning?:Annan, nämligen:;Av vem/vilka har du känt dig utsatt för kränkande särbehandling eller mobbning?:Vill ej uppge;Har du rapporterat händelsen till din närmaste chef eller till någon på HR-enheten?;Har du fått den hjälp och det stöd som du behöver?;Har det förekommit hot eller våld på din arbetsplats det senaste året?;Har du, under det senaste året, blivit utsatt för våld eller hot i ditt arbete?;Av vem/vilka har du blivit utsatt för hot eller våld?:En chef;Av vem/vilka har du blivit utsatt för hot eller våld?:En medarbetare;Av vem/vilka har du blivit utsatt för hot eller våld?:En kund/elev/brukare;Av vem/vilka har du blivit utsatt för hot eller våld?:En anhörig till elev/brukare;Av vem/vilka har du blivit utsatt för hot eller våld?:En förtroendevald politiker;Av vem/vilka har du blivit utsatt för hot eller våld?:Annan, nämligen:;Av vem/vilka har du blivit utsatt för hot eller våld?:Vill ej uppge;Har du rapporterat händelsen till din närmaste chef eller till någon på HR-enheten?;Har du fått den hjälp och det stöd som du behöver?;Arbetstillfredsställelse:Jag känner mig engagerad i det dagliga arbetet ;Arbetstillfredsställelse:Jag är nöjd med min arbetsinsats ;Arbetstillfredsställelse:Jag har tillräckligt med tid för att kunna utföra mitt arbete väl ;Arbetstillfredsställelse:Jag är stolt över att arbeta i X  ;Arbetstillfredsställelse:Jag rekommenderar gärna min arbetsgivare för andra;Tror du att du kommer att arbeta kvar inom X  om 3 år?;Helhetsbedömning  :Jag är som helhet nöjd med min arbetssituation;Helhetsbedömning  :Jag känner motivation i mitt arbete;Helhetsbedömning  :Min arbetssituation uppfyller de förväntningar som jag har på mitt arbete;Helhetsbedömning  :Jag är som helhet nöjd med X  som arbetsgivare;Motivation:Mitt arbete känns meningsfullt. ;Motivation:Jag lär nytt och utvecklas i mitt dagliga arbete. ;Motivation:Jag ser fram emot att gå till arbetet.;Ledarskap:Min närmaste chef visar uppskattning. ;Ledarskap:Min närmaste chef visar förtroende för mig som medarbetare. ;Ledarskap:Min närmaste chef ger mig förutsättningar att ta ansvar i mitt arbete.;Styrning:Jag är insatt i min arbetsplats mål. ;Styrning:Min arbetsplats mål följs upp och utvärderas på ett bra sätt. ;Styrning:Jag vet vad som förväntas av mig i mitt arbete.
Medarbetare;4;5;5;4;5;3;4;5;4;4;5;4;5;4;5;5;4;5;5;4;4;4;5;3;4;5;4;5;1;;3;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;;;;;;;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5;2;2;;;;;;;;;;2;2;;;;;;;;;;5;5;4;5;5;4;5;5;5;4;5;5;5;5;5;5;5;5;5
Medarbetare;3;2;2;3;5;3;2;2;4;3;3;3;2;0;3;3;2;3;1;2;2;1;2;1;1;2;2;2;2;1;;;;;;;;;3;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;1;1;1;1;2;2;2;2;2;2;4;4;6;2;6;1;1;1;2;;;;;;2;2;3;2;;;;;;;;;;2;3;3;2;2;4;2;2;2;2;2;3;2;2;2;2;3;3;3
Medarbetare;4;3;3;4;4;3;4;4;4;4;5;4;4;4;4;5;4;5;5;4;4;3;4;3;4;4;4;4;1;;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;4;4;4;4;4;3;;;;;;;1;1;1;1;4;4;4;4;5;5;5;5;5;5;5;2;2;;;;;;;;;;2;2;;;;;;;;;;4;4;4;5;5;1;4;4;4;5;4;4;5;4;4;4;4;3;4
Medarbetare;5;3;5;5;5;5;5;4;4;5;5;5;5;3;5;5;5;5;5;2;2;3;2;2;2;5;5;5;1;;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;1;1;1;1;5;5;5;5;6;6;6;6;6;6;6;2;2;;;;;;;;;;2;2;;;;;;;;;;5;5;3;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5
Medarbetare;5;5;5;5;5;4;5;5;4;5;5;5;5;0;5;5;5;0;5;5;4;5;5;5;5;5;5;5;2;1;;;;;;;;;4;4;3;3;5;5;5;3;5;0;5;5;5;5;5;5;5;4;4;0;0;;;;;;;5;2;;;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;;;2;2;;;;;;;;;;5;5;5;5;5;4;5;5;5;5;5;4;5;5;5;5;3;3;4
Medarbetare;3;3;3;2;4;2;3;4;4;4;5;4;4;4;3;4;5;4;2;4;3;2;3;2;2;4;4;3;2;1;;;;;;;;;3;2;2;3;3;2;2;2;4;3;4;3;3;3;4;2;3;2;3;4;4;;;;;;;1;1;2;2;;;;;3;4;5;5;5;5;5;2;2;;;;;;;;;;2;1;;;;;;6;;1;1;4;4;3;4;4;4;2;3;3;4;4;2;3;4;4;4;2;2;3
Medarbetare;5;5;5;4;5;4;5;5;5;5;5;5;5;4;5;5;5;5;5;4;4;5;3;2;4;4;4;4;1;;3;4;4;4;5;5;4;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;0;;;;;;;1;1;1;1;4;4;4;4;5;5;5;5;5;5;5;2;2;;;;;;;;;;2;2;;;;;;;;;;5;5;4;3;5;1;5;5;4;4;4;4;5;5;5;5;4;4;4
Medarbetare;3;3;4;3;5;3;3;4;0;3;5;5;5;4;4;4;4;4;4;5;4;3;3;4;4;3;3;4;2;2;3;0;0;0;0;0;0;0;4;4;4;4;4;4;4;4;4;0;4;4;4;4;5;0;0;0;0;0;0;;;;;;;5;2;;;;;;;5;5;5;4;5;5;5;2;2;;;;;;;;;;2;2;;;;;;;;;;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
Medarbetare;5;3;4;4;4;4;4;4;0;4;5;5;5;0;4;5;4;0;4;1;2;3;1;2;2;3;3;3;1;;3;4;3;5;5;5;5;5;0;0;0;5;4;4;4;4;4;0;5;4;4;4;4;4;4;2;2;3;3;;;;;;;6;1;2;2;;;;;5;5;5;5;5;5;5;2;2;;;;;;;;;;2;2;;;;;;;;;;5;5;2;4;4;4;4;4;4;4;5;3;4;4;4;4;4;2;4
