role;;;t2;t4;;t6;;;;;a1;;;;;;;;;;;;;k2;k1;;k4;k3;i1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;l1;;l2;;;;;;lb1;lb2;lb3;lb4;lb5;lb6;lb7;;;;;;;;;;;;;v1;;;;;;;;;;h5;h6;y2;h2;h1;h4;h3;sex;
Organisation:Roll inläst;Matrisfråga:Arbetssituation:Jag tycker det är roligt att gå till jobbet;Matrisfråga:Arbetssituation:Jag har meningsfulla arbetsuppgifter;Matrisfråga:Arbetssituation:Jag kan påverka min arbetssituation;Matrisfråga:Arbetssituation:Jag har en rimlig arbetsbelastning;Matrisfråga:Arbetssituation:Jag kan oftast själv bestämma arbetstakten;Matrisfråga:Arbetssituation:Det finns tid för återhämtning efter perioder av hög arbetsbelastning på jobbet;Matrisfråga:Arbetssituation:Jag har de befogenheter jag behöver utifrån mitt ansvarsområde;Matrisfråga:Arbetssituation:Jag upplever inga negativa stressreaktioner i arbetssituationen;Matrisfråga:Arbetssituation:Jag får stöd och hjälp av mina kollegor om jag behöver det;Matrisfråga:Arbetsmiljö:Jag har den utrustning jag behöver för att utföra mitt arbete ;Matrisfråga:Arbetsmiljö:Jag har en bra fysisk arbetsmiljö;Matrisfråga:Arbetsmiljö:Jag bidrar till ett gott arbetsklimat ;Matrisfråga:Arbetsmiljö:I min arbetsgrupp delar vi gärna med oss av våra kunskaper och erfarenheter till varandra;Matrisfråga:Arbetsmiljö:Jag och mina kollegor bemöter varandra med respekt på arbetet;Matrisfråga:Arbetsmiljö:Stämningen är bra på min enhet;Matrisfråga:Arbetsmiljö:Samarbetet på min enhet fungerar bra;Matrisfråga:Arbetsmiljö:Om konflikter uppstår hanterar vi dem i gruppen på ett bra sätt utan hjälp av min närmaste chef;Matrisfråga:Arbetsmiljö:Samarbetet med andra enheter och avdelningar fungerar bra;Matrisfråga:Hälsa:Min fysiska hälsa är god ;Matrisfråga:Hälsa:Min psykiska hälsa är god ;Matrisfråga:Hälsa:Jag har en bra balans mellan arbete och privatliv ;Matrisfråga:Hälsa:Jag kan koppla av från arbetet på min fritid;Matrisfråga:Kompetens och utveckling:Jag har de kunskaper jag behöver för att kunna utföra mitt arbete;Matrisfråga:Kompetens och utveckling:Jag tar själv initiativ för att utvecklas i arbetet;Matrisfråga:Kompetens och utveckling:Jag får den kompetensutveckling/utbildning som jag behöver i mitt arbete;Matrisfråga:Kompetens och utveckling:Jag är nöjd med min utveckling i arbetet det senaste året;Matrisfråga:Kompetens och utveckling:Jag anser att min kompetens och erfarenhet tas tillvara på ett bra sätt;Matrisfråga:Kompetens och utveckling:Det finns bra utvecklingsmöjligheter inom X för mig;Matrisfråga:Information:Jag har lätt att hitta den information jag behöver i arbetet;Matrisfråga:Information:Jag tar själv ansvar för att hålla mig informerad;Matrisfråga:Information:Jag anser att jag har tillgång till den information jag behöver i arbetet;Matrisfråga:Information:Den information jag får känns relevant för mitt arbete ;Flervalsfråga:JaNejVetejEjrel:Har du haft ett medarbetarsamtal under de senaste 12 månaderna?;Flervalsfråga:JaNejVetej:Upplever du att du har en individuell utvecklingsplan?;Flervalsfråga:JaNejVetej:Jag och min chef har samtal och en kontinuerlig dialog under året utöver medarbetarsamtalet;Matrisfråga:Kontinuerlig dialog:Jag är som helhet nöjd med den kontinuerliga dialogen med min chef utöver medarbetarsamtalet;Matrisfråga:Kontinuerlig dialog:Jag upplever att uppföljning och återkoppling sker kontinuerligt i dialog med min chef utöver medarbetarsamtalet;Matrisfråga:Medarbetarsamtal:Jag upplever att samtalet bidrar till min utveckling;Matrisfråga:Medarbetarsamtal:Jag upplever att samtalet tydliggör mina individuella mål och utvecklingsområden;Matrisfråga:Medarbetarsamtal:Det vi kom överens om i medarbetarsamtalet blir genomfört;Matrisfråga:Medarbetarsamtal:Jag är som helhet nöjd med samtalet;Matrisfråga:Mål och visioner:Jag känner till Xs vision och övergripande uppdrag;Matrisfråga:Mål och visioner:Jag känner till avdelningens mål;Matrisfråga:Mål och visioner:Jag har tydliga mål för mitt individuella arbete;Matrisfråga:Mål och visioner:Det är tydligt vad som förväntas av mig i mitt arbete;Matrisfråga:Mål och visioner:Jag upplever mina individuella mål som relevanta och betydelsefulla;Matrisfråga:Mål och visioner:Jag är delaktig i att sätta mina individuella mål;Matrisfråga:Ledarskap:Jag har förtroende för min närmaste chef;Matrisfråga:Ledarskap:Min närmaste chef är ett gott föredöme;Matrisfråga:Ledarskap:Min närmaste chef bidrar till ett arbetsklimat där jag ges möjlighet att engagera mig och vara delaktig i verksamheten;Matrisfråga:Ledarskap:Min närmaste chef är bra på att planera och organisera arbetet efter verksamhetsplanering och uppföljning;Matrisfråga:Ledarskap:Min närmaste chef skapar goda förutsättningar för mig att bidra till verksamhetens mål;Matrisfråga:Ledarskap:Min närmaste chef ger mig den information jag behöver för att känna delaktighet;Matrisfråga:Ledarskap:Min närmaste chef ger mig den information jag behöver  för kunna prestera bra;Matrisfråga:Ledarskap:Min närmaste chef är tydlig mot mig i sina krav och förväntningar på resultat;Matrisfråga:Ledarskap:Min närmaste chef ger mig det stöd jag behöver i mitt arbete;Matrisfråga:Ledarskap:Min närmaste chef är klar och tydlig i sin kommunikation;Matrisfråga:Ledarskap:Min närmaste chef ger mig tillräcklig återkoppling  på min arbetsinsats;Matrisfråga:Ledarskap:Min närmaste chef skapar konstruktiva lösningar vid problem, samt tar tag i och löser konflikter och hanterar olika intressen;Matrisfråga:Ledarskap:Som helhet ger min närmaste chefs ledarskap mig motivation och arbetsglädje ;Matrisfråga:Chefskap:Jag har de befogenheter som jag behöver för att kunna agera i mitt arbete;Matrisfråga:Chefskap:Jag har ledningens stöd i mitt arbete;Matrisfråga:Chefskap:Jag har mina medarbetares förtroende;Matrisfråga:Chefskap:Jag ger mina medarbetare löpande tillräcklig återkoppling på deras arbete;Matrisfråga:Chefskap:Jag ger mina medarbetare det stöd de behöver i deras arbete;Matrisfråga:Likabehandling:På min arbetsplats behandlas alla lika oavsett kön;Matrisfråga:Likabehandling:På min arbetsplats behandlas alla lika oavsett ålder;Matrisfråga:Likabehandling:På min arbetsplats behandlas alla lika oavsett etnisk tillhörighet;Matrisfråga:Likabehandling:På min arbetsplats behandlas alla lika oavsett könsöverskridande identitet eller uttryck;Matrisfråga:Likabehandling:På min arbetsplats behandlas alla lika oavsett religion eller annan trosuppfattning;Matrisfråga:Likabehandling:På min arbetsplats behandlas alla lika oavsett funktionsnedsättning;Matrisfråga:Likabehandling:På min arbetsplats behandlas alla lika oavsett sexuell läggning;Matrisfråga:Kränkande särbehandling och mobbning:På mitt arbete är det tydligt att kränkande särbehandling inte accepteras:Kränkskala;Matrisfråga:Kränkande särbehandling och mobbning:Jag tycker att det finns bra rutiner för att hantera kränkande särbehandling:Kränkskala;Matrisfråga:Kränkande särbehandling och mobbning:Jag vet vem jag ska vända mig till om kränkande särbehandling förekommer:Kränkskala;Matrisfråga:Kränkande särbehandling och mobbning:På min arbetsplats får den som är utsatt för kränkande särbehandling snabbt hjälp:Kränkskala;Flervalsfråga:JaNejVillejuppge:Tycker du att det förekommit kränkande särbehandling/mobbning på din arbetsplats det senaste året?;Flervalsfråga:JaNejVillejuppge:Har du personligen, under det senaste året, känt dig utsatt för kränkande särbehandling/mobbning i ditt arbete?;Textfält:Har kränkande särbehandling/mobbningen skett internt och/eller externt? - Internt;Textfält:Har kränkande särbehandling/mobbningen skett internt och/eller externt? - Externt;Flervalsfråga:InterntExternt:Har kränkande särbehandling/mobbningen skett internt och/eller externt?;Flervalsfråga:JaNejVillejuppge:Har du rapporterat händelsen?;Flervalsfråga:JaNejVillejuppge:Har du fått den hjälp och det stöd du behöver?;Flervalsfråga:JaNejVillejuppge:Tycker du att det förekommit hot och/eller våld på arbetsplatsen under det senaste året?;Flervalsfråga:JaNejVillejuppge:Har du personligen, under det senaste året, blivit utsatt för hot och/eller våld i ditt arbete?;Textfält:Har våld och/eller hot skett internt och/eller externt? - Internt;Textfält:Har våld och/eller hot skett internt och/eller externt? - Externt;Flervalsfråga:InterntExternt:Har våld och/eller hot skett internt och/eller externt?;Flervalsfråga:JaNejVillejuppge:Har du rapporterat händelsen? ;Flervalsfråga:JaNej:Har du fått den hjälp och det stöd du behöver? ;Matrisfråga:Ledning och styrning:Jag har förtroende för vår ledningsgrupps sätt att leda myndighetens verksamhet;Matrisfråga:Ledning och styrning:Jag har förtroende för vår avdelningsledningsgrupps sätt att leda avdelningens verksamhet;Matrisfråga:Ledning och styrning:Myndighetens ledningsgrupp är bra på att informera om viktiga händelser och beslut;Matrisfråga:Ledning och styrning:Myndighetens ledningsgrupp bidrar till att skapa ett öppet och tillåtande klimat;Matrisfråga:Stolthet och lojalitet:Jag känner mig stolt över att arbeta på X;Matrisfråga:Stolthet och lojalitet:Jag rekommenderar gärna X som arbetsgivare;Matrisfråga:Stolthet och lojalitet:Jag tror att jag arbetar kvar om 2 år;Matrisfråga:MMI:Jag känner motivation i mitt arbete;Matrisfråga:MMI:Jag är som helhet nöjd med min arbetssituation;Matrisfråga:MMI:Min arbetssituation uppfyller mycket väl de förväntningar jag har;Matrisfråga:MMI:Jag är som helhet nöjd med X som arbetsgivare;Organisation:Kön ;Årtal:År:
Medarbetare;5;4;4;3;4;3;5;5;5;5;5;4;5;5;5;5;5;4;5;4;4;5;4;3;5;3;4;4;4;5;5;5;1;1;1;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;5;5;5;5;5;5;5;1;3;1;3;2;2;;;;;;2;2;;;;;;5;5;-1;5;5;5;5;4;4;5;5;Kvinna;2021
Chef;4;3;4;4;4;4;2;2;4;5;5;5;5;5;5;5;5;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;1;2;1;5;5;5;1;-1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;3;5;5;5;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;2;2;;;;;;3;5;1;2;4;4;4;3;3;3;3;Man;2021
Medarbetare;5;4;-1;3;3;4;4;4;5;5;4;4;3;3;3;3;-1;-1;4;4;5;5;3;-1;3;3;3;-1;4;4;4;5;1;2;1;4;-1;4;4;-1;4;3;3;3;-1;-1;-1;5;5;4;4;3;3;4;3;4;5;3;-1;4;;;;;;5;4;3;-1;3;-1;-1;3;3;3;3;3;3;;;;;;2;2;;;;;;5;5;5;5;5;5;-1;-1;3;3;5;Kvinna;2021
Medarbetare;4;4;4;4;3;3;4;3;3;2;3;3;4;4;3;4;3;4;5;5;5;5;3;4;3;4;4;4;4;4;4;4;1;3;1;3;3;3;3;3;3;3;2;4;4;4;4;3;3;3;4;3;4;4;3;3;4;3;3;2;;;;;;5;5;5;5;5;5;5;1;3;3;3;2;2;;;;;;2;2;;;;;;4;4;4;4;4;4;4;4;4;4;3;Kvinna;2021
Medarbetare;4;4;4;4;2;5;4;2;5;4;4;4;5;5;5;5;-1;2;5;5;5;5;4;4;4;5;4;2;4;4;4;4;1;3;1;5;5;3;3;4;4;3;1;4;4;3;5;5;5;5;5;5;5;5;5;5;5;5;4;4;;;;;;5;4;5;-1;-1;-1;5;3;3;3;3;2;2;;;;;;2;2;;;;;;1;2;1;1;1;1;3;4;4;4;3;Kvinna;2021
Medarbetare;4;3;4;2;4;2;2;2;2;4;4;4;4;5;5;5;-1;-1;5;5;4;3;4;4;3;5;2;1;3;4;3;3;1;1;1;4;3;3;4;4;3;4;3;4;4;4;4;5;5;5;5;5;5;5;5;5;4;4;4;5;;;;;;-1;5;5;5;5;5;5;3;3;1;3;1;1;1;;1;2;2;2;2;;;;;;5;5;5;3;3;3;4;3;3;3;3;Kvinna;2021
Medarbetare;5;5;4;4;4;4;5;4;5;4;5;5;5;5;5;4;-1;4;5;4;4;4;5;5;4;5;4;4;4;4;4;4;3;3;1;4;4;;;;;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;;;;;;5;5;5;-1;-1;-1;5;3;3;1;3;2;2;;;;;;2;2;;;;;;-1;-1;5;5;5;5;5;5;5;5;5;Kvinna;2021
Medarbetare;4;4;3;5;4;3;3;3;4;4;4;4;3;5;4;4;4;3;5;3;4;3;4;4;3;4;3;3;3;5;3;4;1;2;1;4;3;4;4;5;4;5;4;4;4;-1;-1;4;4;-1;-1;-1;-1;-1;-1;-1;5;-1;4;-1;;;;;;5;4;-1;-1;-1;-1;-1;1;3;3;3;2;2;;;;;;2;2;;;;;;4;5;5;3;3;3;2;3;2;2;3;Kvinna;2021
Medarbetare;3;4;4;3;4;5;4;3;4;4;4;5;4;5;4;4;4;4;5;4;5;4;4;4;3;4;3;3;4;4;4;3;1;1;1;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;5;4;5;4;4;4;4;4;-1;3;;;;;;5;5;5;5;5;5;5;1;3;3;3;2;2;;;;;;2;2;;;;;;4;4;3;3;4;4;3;3;4;4;4;Kvinna;2021
