;;h2;t4;;t2;t6;;;;;;;;;a1;;;;;k2;k1;;;k4;;k3;;;i1;;;;;;;;;;;;;;;;;;;l1;;;l2;lb1;lb2;lb3;;v1;;h5;h6;y3;h1;h3;h4;sex;age;years;
Matrisfråga:Work Situation:I like my work;Matrisfråga:Work Situation:I enjoy going to work;Matrisfråga:Work Situation:I feel motivated in my work;Matrisfråga:Work Situation:I have a reasonable workload;Matrisfråga:Work Situation:I can usually determine the pace of my work;Matrisfråga:Work Situation:I can influence my work situation;Matrisfråga:Work Situation:There is time to recover from periods of stress at work;Matrisfråga:Working Environment:I have the necessary tools to do my work;Matrisfråga:Working Environment:We have good teamwork and support each other in our office;Matrisfråga:Working Environment:In my work group, we like to share our knowledge and experience with each other;Matrisfråga:Working Environment:I feel respected by my colleagues;Matrisfråga:Working Environment:If conflicts occur, they are handled in a good way from my co-workers without the help of my manager;Matrisfråga:Working Environment:The atmosphere is good in my workplace;Matrisfråga:Working Environment:Cooperation at my workplace works well;Matrisfråga:Working Environment:Cooperation in our regional team works well;Matrisfråga:Working Environment:I have a good physical working environment;Matrisfråga:Health:I feel that I have a good balance between work and personal life;Matrisfråga:Health:I feel that my physical health is good;Matrisfråga:Health:I feel that my mental health is good;Matrisfråga:Health:I feel that I can relax in my leisure time;Matrisfråga:Skills and Development:I take initiatives to gain the skills I need;Matrisfråga:Skills and Development:I get the professional development / training that I need in my work;Matrisfråga:Skills and Development:I have the skills I need to perform my work;Matrisfråga:Skills and Development:I'm satisfied with my professional progress during the previous year;Matrisfråga:Skills and Development:I believe that my skills and experience are considered and used in a good way;Matrisfråga:Skills and Development:I have an individual development plan;Matrisfråga:Skills and Development:There are good opportunities for development within the organisation for me;Matrisfråga:Information:I can easily find the information I need;Matrisfråga:Information:I think I have access to all the information I need to perform my work;Matrisfråga:Information:I take responsibility for seeking the information I need;Matrisfråga:Information:The information that I receive, feels relevant to my work;Matrisfråga:Goals and Visions:I know the organisation's vision and mission;Matrisfråga:Goals and Visions:I know the organisation's goals;Matrisfråga:Goals and Visions:I believe that the organisation has clear goals;Matrisfråga:Goals and Visions:I have clear goals for my personal work;Matrisfråga:Goals and Visions:I am involved when setting my individual goals;Flervalsfråga:YesNo:Have you had an individual development dialogue in the last 12 months?;Matrisfråga:Individual Development Dialogue:I feel that the individual development dialogue contributes to my career development;Matrisfråga:Individual Development Dialogue:I am satisfied with the individual goals that were set for me;Matrisfråga:Individual Development Dialogue:What we agreed on in the individual development dialogue is being conducted;Matrisfråga:Individual Development Dialogue:I am overall satisfied with the individual development dialogue;Matrisfråga:Leadership:My manager sets a good example;Matrisfråga:Leadership:My manager is good at providing information about important events and decisions;Matrisfråga:Leadership:My manager helps in creating an open and tolerant working environment;Matrisfråga:Leadership:My manager shows that he/ she trusts his/her employees;Matrisfråga:Leadership:My manager is good at planning and organising;Matrisfråga:Leadership:My manager swiftly takes control of the problems occurred of conflicts and relationships in the workplace;Matrisfråga:Leadership:My manager gives me the support I need in my work;Matrisfråga:Leadership:My manager gives me feedback on how I manage my duties;Matrisfråga:Leadership:My manager involves us in decisions and developments;Matrisfråga:Leadership:My manager is straightforward and clear in leadership issues;Matrisfråga:Leadership:I am overall satisfied with my manager;Matrisfråga:Diversity:In my workplace, everyone is treated equally regardless of gender;Matrisfråga:Diversity:In my workplace, everyone is treated equally regardless of age;Matrisfråga:Diversity:In my workplace, everyone is treated equally regardless of ethnicity;Flervalsfråga:YesNo:Have you personally, during the previous year, felt vulnerable to victimization / bullying at work?;Flervalsfråga:YesNo:Have you, during the previous year, been victim of violence or threats at work?;Flervalsfråga:YesNo:Do you think there is abuse or harassment in your workplace?;Matrisfråga:Workplace:I am proud to work in the organisation;Matrisfråga:Workplace:I gladly recommend my employer;Matrisfråga:Workplace:I think I will keep working in the organisation for the next 3 years;Matrisfråga:Overall:I am overall satisfied with my work situation;Matrisfråga:Overall:I am overall satisfied with my employer;Matrisfråga:Overall:My work situation meets my expectations very well;Flervalsfråga:Gender:Gender;Flervalsfråga:Age:How old are you?;Flervalsfråga:Working Period:How many years have you been working in this organisation?;Årtal:Year
5;5;5;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;4;3;4;3;4;4;3;4;4;4;4;5;5;5;5;5;1;4;4;4;4;5;5;5;5;5;4;5;5;5;5;5;5;5;5;2;2;2;5;5;5;4;4;4;2;2;2;2014
5;5;4;4;4;3;5;3;4;5;5;4;4;4;3;5;5;4;5;5;5;3;5;3;4;5;4;5;5;5;5;5;5;5;5;5;1;4;6;2;4;5;5;5;5;5;5;4;4;4;5;5;5;3;4;1;2;2;5;5;5;3;4;4;2;3;3;2014
5;5;4;5;6;4;5;3;3;4;3;5;5;5;4;5;5;5;5;3;4;4;5;5;5;5;4;4;5;5;5;5;5;5;5;6;3;;;;;3;5;3;5;4;5;5;5;5;4;5;5;5;5;2;2;3;5;5;5;5;5;5;2;3;3;2014
3;3;3;2;3;2;2;4;2;2;4;3;2;2;2;3;3;2;3;3;3;2;3;4;3;5;3;4;3;5;4;5;5;5;3;1;2;;;;;3;4;2;3;3;3;3;2;1;1;3;1;5;2;2;2;2;3;1;1;2;2;2;1;2;3;2014
5;5;3;5;3;3;4;5;4;5;4;4;3;3;2;5;4;5;4;5;4;5;5;5;4;5;4;4;5;5;5;5;5;5;5;4;1;4;5;4;5;4;5;5;3;5;5;5;2;2;3;4;4;4;5;1;1;2;5;4;5;4;4;4;2;2;3;2014
5;5;3;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;5;5;5;5;5;5;5;5;5;1;5;5;5;5;4;5;5;5;4;5;5;5;3;4;4;5;5;5;2;2;2;5;5;5;4;4;4;1;2;2;2014
5;3;1;5;1;1;3;5;6;1;6;1;3;6;6;6;5;5;5;5;5;6;5;6;1;6;6;6;1;5;6;5;5;5;5;1;2;;;;;1;1;1;1;1;1;6;1;1;1;6;6;6;6;1;1;2;5;5;5;4;4;4;1;3;3;2014
5;5;5;3;4;4;4;4;4;2;4;5;5;4;3;4;3;4;4;3;4;3;4;4;3;1;2;3;3;4;2;5;3;3;2;1;2;;;;;3;3;4;5;3;6;4;3;3;3;3;4;4;5;2;2;2;4;3;3;4;3;4;1;4;1;2014
5;5;4;5;5;5;4;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;5;4;4;5;3;5;5;5;5;5;5;5;5;5;2;;;;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;2;5;5;5;5;5;4;2;3;4;2014
