sex;;age;t3;t1;t8;t2;t13;l1;;;;;;;;;k3;k1;k2;k5;k4;k6;a2;;a1;;;t7;;y5;;;;;;;;;;;;ks1;ks2;ks3;ks4;;;;;v2;v1;;;
Organisation:Kön;Organisation:Tid i Bransch;Organisation:Ålder;Matrisfråga:Trivsel:Jag trivs med min yrkesroll/arbetsuppgifter;Matrisfråga:Trivsel:Jag trivs på mitt företag/min arbetsplats;Matrisfråga:Trivsel:Jag känner motivation i mitt arbete;Matrisfråga:Trivsel:Jag kan påverka min arbetssituation;Matrisfråga:Trivsel:Samarbetet med mina kollegor på min arbetsplats fungerar bra;Matrisfråga:Trivsel:Jag får tydlig feedback på min arbetsinsats från min närmaste chef;Matrisfråga:Trivsel2:Jag trivs med min yrkesroll/arbetsuppgifter ;Matrisfråga:Trivsel2:Jag trivs på mitt företag/min arbetsplats ;Matrisfråga:Trivsel2:Jag känner motivation i mitt arbete ;Matrisfråga:Trivsel2:Jag kan påverka min arbetssituation ;Matrisfråga:Trivsel2:Samarbetet med mina kollegor på min arbetsplats fungerar bra ;Matrisfråga:Trivsel2:Jag får tydlig feedback på min arbetsinsats från min närmaste chef ;Matrisfråga:Trivsel2:Samarbetet med min närmaste chef fungerar bra**;Matrisfråga:Trivsel2:Min närmaste chef är en bra ledare för vår grupp**;Matrisfråga:Utveckling/karriär:Jag tycker att det finns tillräckliga utvecklingsmöjligheter för mig inom X;Matrisfråga:Utveckling/karriär:Jag får den kompetensutveckling jag behöver;Matrisfråga:Utveckling/karriär:Jag tar initiativ till att få den kompetensutveckling jag behöver;Matrisfråga:Utveckling/karriär:Jag känner att det satsas på mig rent utvecklingsmässigt inom X;Matrisfråga:Utveckling/karriär:Jag anser att min kompetens och erfarenhet tas tillvara på ett bra sätt;Matrisfråga:Utveckling/karriär:Jag är nöjd med min utveckling i arbetet det senaste året;Matrisfråga:Arbetsmiljö:Min arbetsmiljö är trygg och säker**;Matrisfråga:Arbetsmiljö:Vi följer de lagar och regler som gäller för arbetsplatsen**;Matrisfråga:Arbetsmiljö:Jag har en bra fysisk arbetsmiljö**;Flervalsfråga:Medie:Jag använder mig av följande sociala medier;Flervalsfråga:Frekvens:Så här ofta använder jag någon form av sociala medier:;Matrisfråga:KorrHelhet:Jag är som helhet nöjd med min arbetssituation ;Matrisfråga:NMI:Jag är som helhet nöjd med min arbetssituation;Matrisfråga:NMI:Jag tror att jag kommer att arbeta på X om fem år;Matrisfråga:NMI:Jag skulle rekommendera andra att arbeta på X;Matrisfråga:NMI2:Jag är som helhet nöjd med min arbetssituation  ;Matrisfråga:NMI2:Jag tror att jag kommer att arbeta på X om fem år  ;Matrisfråga:NPS:Jag skulle rekommendera andra att arbeta på X ;Matrisfråga:Byggmaterialbranschen:Jag tror att jag kommer att arbeta i byggmaterialbranschen om fem år;Matrisfråga:Byggmaterialbranschen:Jag skulle rekommendera andra att arbeta i byggmaterialbranschen;Flervalsfråga:Skala5:Vad är det som inte är bra gällande den fysiska arbetsmiljön?**;Flervalsfråga:Skala1:På mitt arbete är det tydligt att kränkande särbehandling inte accepteras**;Flervalsfråga:Skala1:Jag tycker att det finns bra rutiner på X för att hantera kränkande särbehandling**;Flervalsfråga:Skala1:Jag vet vem jag ska vända mig till om kränkande särbehandling förekommer**;Flervalsfråga:Skala1:På min arbetsplats får den som är utsatt för kränkande särbehandling snabbt hjälp**;Matrisfråga:Kränkande särbehandling:På mitt arbete är det tydligt att kränkande särbehandling inte accepteras** :Annanskala;Matrisfråga:Kränkande särbehandling:Jag tycker att det finns bra rutiner på X för att hantera kränkande särbehandling** :Annanskala;Matrisfråga:Kränkande särbehandling:Jag vet vem jag ska vända mig till om kränkande särbehandling förekommer** :Annanskala;Matrisfråga:Kränkande särbehandling:På min arbetsplats får den som är utsatt för kränkande särbehandling snabbt hjälp** :Annanskala;Flervalsfråga:Skala2:Tycker du att det förekommer kränkningar eller mobbning på X?**;Flervalsfråga:Skala2:Har du personligen, under det senaste året, känt dig utsatt för kränkande särbehandling/mobbning på X?**;Flervalsfråga:Skala3:Av vem/vilka har du känt dig utsatt för kränkande särbehandling eller mobbning?**;Flervalsfråga:Skala4:Har du rapporterat händelsen till din närmaste chef eller personalavdelningen?**;Flervalsfråga:Skala2:Tycker du att det förekommer hot eller våld på X?**;Flervalsfråga:Skala2:Har du, under det senaste året, blivit utsatt för våld eller hot i ditt arbete?**;Flervalsfråga:Skala4:Av vem/vilka har du blivit utsatt för hot eller våld?** ;Flervalsfråga:Skala4:Har du rapporterat händelsen till din närmaste chef eller personalavdelningen?** ;Årtal:År
Man;11-15 år;36 år eller äldre;5;5;5;5;5;5;;;;;;;;;4;3;5;5;5;5;;;;"1;3;8";2;5;5;4;5;5;4;5;4;5;;;;;;;;;;;;;;;;;;2016
Man;11-15 år;36 år eller äldre;5;5;5;5;5;4;;;;;;;;;5;5;5;5;5;5;;;;"1;2;3;7;8";2;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;;;;2016
Man;Mer än 20 år;36 år eller äldre;5;5;5;4;4;4;;;;;;;;;4;4;4;4;4;4;;;;"8;3;4;1";2;4;4;4;4;4;4;4;5;4;;;;;;;;;;;;;;;;;;2016
Man;1-5 år;36 år eller äldre;5;5;5;5;5;4;;;;;;;;;5;5;4;5;5;5;;;;"2;3;8";2;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;;;;2016
Man;Mer än 20 år;36 år eller äldre;5;4;4;4;4;3;;;;;;;;;4;4;4;5;4;4;;;;"2;3;4;1";1;4;4;5;5;4;5;5;5;4;;;;;;;;;;;;;;;;;;2016
Kvinna;16-20 år;36 år eller äldre;5;5;4;3;4;2;;;;;;;;;4;4;4;5;4;5;;;;"1;3;8";1;4;4;3;5;4;3;5;5;5;;;;;;;;;;;;;;;;;;2016
Man;16-20 år;36 år eller äldre;5;5;5;4;4;4;;;;;;;;;4;4;3;3;4;4;;;;"3;1";2;4;4;4;4;4;4;4;4;3;;;;;;;;;;;;;;;;;;2016
Man;6-10 år;26-35 år;5;5;5;5;4;3;;;;;;;;;5;5;4;5;4;4;;;;"1;8";1;4;4;5;5;4;5;5;5;4;;;;;;;;;;;;;;;;;;2016
Man;6-10 år;36 år eller äldre;4;5;5;5;5;5;;;;;;;;;4;4;3;3;4;4;;;;"1;2;3";2;4;4;4;5;4;4;5;5;5;;;;;;;;;;;;;;;;;;2016
