;age;sex;;t3;t1;t8;t2;t13;l1;;;k3;k1;k2;;k4;;;a1;;;;;;;;;;;;;;;;;;;;;;;;;;v2;v1;;;;;;t7;;;;y5
Svarstid;Jag är;Jag är;Jag har arbetat i byggmaterialhandeln i;Trivsel:Jag trivs med min yrkesroll/arbetsuppgifter ;Trivsel:Jag trivs på mitt företag/min arbetsplats ;Trivsel:Jag känner motivation i mitt arbete ;Trivsel:Jag kan påverka min arbetssituation ;Trivsel:Samarbetet med mina kollegor på min arbetsplats fungerar bra ;Trivsel:Jag får tydlig feedback på min arbetsinsats från min närmaste chef;Trivsel:Samarbetet med min närmaste chef fungerar bra ;Trivsel:Min närmaste chef är en bra ledare för vår grupp;Utveckling/karriär:Jag tycker att det finns tillräckliga utvecklingsmöjligheter för mig inom X ;Utveckling/karriär:Jag får den kompetensutveckling jag behöver ;Utveckling/karriär:Jag tar initiativ till att få den kompetensutveckling jag behöver ;Utveckling/karriär:Jag känner att det satsas på mig rent utvecklingsmässigt inom X ;Utveckling/karriär:Jag anser att min kompetens och erfarenhet tas tillvara på ett bra sätt ;Utveckling/karriär:Jag är nöjd med min utveckling i arbetet det senaste året ;Arbetsmiljö:Min arbetsmiljö är trygg och säker;Arbetsmiljö:Jag har en bra fysisk arbetsmiljö;Vad är det som inte är bra gällande den fysiska arbetsmiljön? :Buller eller störande ljud;Vad är det som inte är bra gällande den fysiska arbetsmiljön? :Belysning;Vad är det som inte är bra gällande den fysiska arbetsmiljön? :Luft;Vad är det som inte är bra gällande den fysiska arbetsmiljön? :Tunga lyft;Vad är det som inte är bra gällande den fysiska arbetsmiljön? :Olämpliga arbetsställningar;Vad är det som inte är bra gällande den fysiska arbetsmiljön? :Ensidiga arbetsrörelser;Vad är det som inte är bra gällande den fysiska arbetsmiljön? :Annat, nämligen;Likabehandling:På X behandlas alla lika oavsett kön ;Likabehandling:På X behandlas alla lika oavsett ålder ;Likabehandling:På X behandlas alla lika oavsett etnisk tillhörighet ;Likabehandling:På X behandlas alla lika oavsett könsöverskridande identitet eller uttryck ;Likabehandling:På X behandlas alla lika oavsett religion eller annan trosuppfattning ;Likabehandling:På X behandlas alla lika oavsett funktionsnedsättning ;Likabehandling:På X behandlas alla lika oavsett sexuell läggning ;Kränkande särbehandling :På mitt arbete är det tydligt att kränkande särbehandling inte accepteras;Kränkande särbehandling :Jag tycker att det finns bra rutiner på X för att hantera kränkande särbehandling;Kränkande särbehandling :Jag vet vem jag ska vända mig till om kränkande särbehandling förekommer ;Kränkande särbehandling :På min arbetsplats får den som är utsatt för kränkande särbehandling snabbt hjälp;Tycker du att det förekommer kränkningar eller mobbning på X?;Har du personligen, under det senaste året, känt dig utsatt för kränkande särbehandling/mobbning på X?;Av vem/vilka har du känt dig utsatt för kränkande särbehandling eller mobbning?:En chef;Av vem/vilka har du känt dig utsatt för kränkande särbehandling eller mobbning?:En medarbetare;Av vem/vilka har du känt dig utsatt för kränkande särbehandling eller mobbning?:En kund;Av vem/vilka har du känt dig utsatt för kränkande särbehandling eller mobbning?:Annan, nämligen;Har du rapporterat händelsen till din närmaste chef eller HR-avdelningen?;Tycker du att det förekommer hot eller våld på X?;Har du, under det senaste året, blivit utsatt för våld eller hot i ditt arbete?;Av vem/vilka har du blivit utsatt för hot eller våld?:En chef;Av vem/vilka har du blivit utsatt för hot eller våld?:En medarbetare;Av vem/vilka har du blivit utsatt för hot eller våld?:En kund;Av vem/vilka har du blivit utsatt för hot eller våld?:Annan, nämligen;Har du rapporterat händelsen till din närmaste chef eller HR-avdelningen?;Helhet:Jag är som helhet nöjd med min arbetssituation ;Helhet:Jag skulle rekommendera andra att arbeta på X ;Helhet:Jag tror att jag kommer att arbeta i byggmaterialbranschen om fem år ;Helhet:Jag skulle rekommendera andra att arbeta i byggmaterialbranschen;Jag ser mig själv jobba kvar på X om 5 år
2020-08-26 10:12;4;2;4;5;5;5;5;5;5;5;5;5;5;3;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;1
2020-08-26 11:38;5;1;6;5;5;5;4;5;1;1;1;5;5;5;5;5;5;5;2;;;;;;6;7;;;;;;;;2;1;1;1;2;1;;;3;;2;1;1;;;3;;2;4;5;6;5;4
2020-08-26 12:15;4;2;6;4;4;4;3;5;6;6;6;4;4;4;6;4;4;4;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;4;5;6;5;1
2020-08-26 12:57;5;2;6;3;5;4;5;5;5;5;5;5;5;4;5;5;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;5;5;5;1
2020-08-26 13:00;5;2;6;4;5;4;4;4;3;3;6;6;3;3;3;4;3;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;4;4;4;4;1
2020-08-26 13:56;2;2;3;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;5;5;4
2020-08-26 13:58;2;1;2;4;4;3;2;4;5;5;2;4;3;4;4;4;5;4;3;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;2;2;;;;;;4;6;3;6;4
2020-08-26 14:00;4;1;5;5;5;5;5;5;4;5;5;5;4;5;4;4;5;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;2;2;;;;;;5;5;4;4;1
2020-08-26 14:20;5;2;4;4;4;4;4;5;5;5;5;4;3;3;3;4;4;4;3;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;2;2;;;;;;4;4;1;4;2
