,,,,
,Variabelnamn,Frågans Kategori,Frågans_Formulering,Bolag
,i1,Information,Jag tar själv ansvar för att söka den information jag behöver i mitt arbete,"40,41,42,43,48"
,i2,Information,Jag har lätt att hitta den information jag behöver i mitt arbete,"40,41,42,43,48"
,k1,Kompetensutveckling,Jag ges tillräckliga möjligheter att utveckla min kompetens inom mitt arbetsområde,"41,43,48"
,k1,Kompetensutveckling,Jag får den kompetensutveckling/utbildning som jag behöver i mitt arbete,"40,42"
,k2,Kompetensutveckling,Jag tar själv initiativ för att få den kompetensutveckling jag behöver,"40,41,42,43,48"
,k3,Kompetensutveckling,Det finns bra utvecklingsmöjligheter inom X för mig,"40,41,42,43,48"
,k4,Kompetensutveckling,Jag har de kunskaper jag behöver för att kunna utföra mitt arbete,"41,42"
,k4,Kompetensutveckling,Jag anser att min kompetens och erfarenhet tas tillvara på ett bra sätt,"40,43"
,k4,Kompetensutveckling,Jag känner att min kompetens tas tillvara på min arbetsplats ,48
,l2,Ledarskap,Jag är som helhet nöjd med min närmaste chef,"40,41,42,43,48"
,l3,Ledarskap,Min närmaste chef tar snabbt tag i problem som rör konflikter och relationer på arbetsplatsen ,"40,41,42,43,48"
,l4,Ledarskap,"Min närmaste chef arbetar för att skapa ett öppet, inkluderande och tillåtande klimat ","40,41,42,43,48"
,lb1,Likabehandling,På min arbetsplats behandlas alla lika oavsett kön,"40,41,42,43,48"
,lb2,Likabehandling,Likabehandling:På min arbetsplats behandlas alla lika oavsett ålder,"40,41,42,43,48"
,lb3,Likabehandling,På min arbetsplats behandlas alla lika oavsett etnisk tillhörighet,"40,41,42,43,48"
,lb4,Likabehandling,På min arbetsplats behandlas alla lika oavsett könsöverskridande identitet eller uttryck,"40,41,42,43,48"
,lb5,Likabehandling,På min arbetsplats behandlas alla lika oavsett religion eller annan trosuppfattning,"40,41,42,43,48"
,lb6,Likabehandling,På min arbetsplats behandlas alla lika oavsett funktionsnedsättning,"40,41,42,43,48"
,lb7,Likabehandling,På min arbetsplats behandlas alla lika oavsett sexuell läggning,"40,41,42,43,48"
,t2,Trivsel,Jag kan påverka min arbetssituation,"40,41,42,43,48"
,t4,Trivsel,Jag har en rimlig arbetsbelastning (varken för stor/inte för liten),"41,48"
,t4,Trivsel,Jag har en rimlig arbetsbelastning,"40,42,43"
,t6,Trivsel,Det finns tid för återhämtning efter perioder av stress på jobbet,"40,41,42,43,48"
,t7,Trivsel,Jag är som helhet nöjd med min arbetssituation,"40,41,42,43,48"
,t8,Trivsel,Jag känner motivation i mitt arbete,"40,41,42,43,48"
,t9,Trivsel,Jag är som helhet nöjd med X som arbetsgivare,"40,41,42,43,48"
,t10,Trivsel,Min arbetssituation uppfyller de förväntningar som jag har på mitt arbete,"40,41,42,43,48"
,t11,Trivsel,Jag är stolt över att arbeta i X,"40,41,42,43,48"
,t12,Trivsel,Jag rekommenderar gärna min arbetsgivare för andra,"40,41,42,43,48"
,v1,Våld,"Har du, under det senaste året, blivit utsatt för våld eller hot i ditt arbete?","40,41,42,43,48"
,y2,Jobba_kvar,Jag tror att jag kommer att arbeta kvar i X om 2 år,"42,43"
,y3,Jobba_kvar,Tror du att du kommer att arbeta kvar inom X om 3 år?,"40,41,48"
